Inventory_ID,Product_SKU,Product_Name,Product_Category,Warehouse_ID,Warehouse_Location,Stock_On_Hand,Reorder_Level,Units_Sold_Last_Month,Avg_Stock_On_Hand,Snapshot_Date,Supplier_Lead_Time_Days,Inventory_Turnover_Rate,Months_Of_Supply,Stockout_Risk,Overstock_Risk,SKU_In_Purchase_Orders
INV000001,SKU3433,Product_SKU3433,Chemicals,WH01,Mumbai,2926,1792,3211,7141,2024-01-01,3,5.4,0.91,0,0,1
INV000002,SKU3262,Product_SKU3262,Electronics,WH01,Mumbai,9080,916,1901,6743,2024-01-01,10,3.38,4.78,0,0,1
INV000003,SKU3963,Product_SKU3963,Chemicals,WH01,Mumbai,8663,1547,5328,6450,2024-01-01,26,9.91,1.63,0,0,1
INV000004,SKU2935,Product_SKU2935,Chemicals,WH01,Mumbai,2029,1779,1765,5172,2024-01-01,23,4.1,1.15,0,0,1
INV000005,SKU4038,Product_SKU4038,IT Equipment,WH01,Mumbai,7117,952,6172,1951,2024-01-01,15,37.96,1.15,0,1,1
INV000006,SKU2139,Product_SKU2139,Textiles,WH01,Mumbai,4125,1606,5769,4185,2024-01-01,3,16.54,0.72,0,0,1
INV000007,SKU2781,Product_SKU2781,IT Equipment,WH01,Mumbai,4016,217,3421,8452,2024-01-01,4,4.86,1.17,0,0,1
INV000008,SKU2203,Product_SKU2203,Raw Material,WH01,Mumbai,6535,297,5622,2747,2024-01-01,4,24.56,1.16,0,1,1
INV000009,SKU3584,Product_SKU3584,Machinery,WH01,Mumbai,6166,1987,1260,7244,2024-01-01,22,2.09,4.89,0,0,1
INV000010,SKU3424,Product_SKU3424,Packaging,WH01,Mumbai,4930,1789,890,6780,2024-01-01,16,1.58,5.54,0,0,1
INV000011,SKU2845,Product_SKU2845,Chemicals,WH01,Mumbai,3021,1858,3422,3001,2024-01-01,10,13.68,0.88,0,0,1
INV000012,SKU2738,Product_SKU2738,Machinery,WH01,Mumbai,8812,1598,1627,5960,2024-01-01,25,3.28,5.42,0,0,1
INV000013,SKU4803,Product_SKU4803,IT Equipment,WH01,Mumbai,8549,683,6682,7922,2024-01-01,18,10.12,1.28,0,0,1
INV000014,SKU3390,Product_SKU3390,Spare Parts,WH01,Mumbai,8146,1142,2035,1150,2024-01-01,13,21.23,4.0,0,1,1
INV000015,SKU5457,Product_SKU5457,IT Equipment,WH01,Mumbai,5488,1130,4247,1542,2024-01-01,3,33.05,1.29,0,1,1
INV000016,SKU4484,Product_SKU4484,Electronics,WH01,Mumbai,5909,1748,7453,4176,2024-01-01,3,21.42,0.79,0,0,1
INV000017,SKU4834,Product_SKU4834,Chemicals,WH01,Mumbai,6225,1741,2713,1974,2024-01-01,11,16.49,2.29,0,1,1
INV000018,SKU3196,Product_SKU3196,Chemicals,WH01,Mumbai,2989,1303,1720,576,2024-01-01,12,35.83,1.74,0,1,1
INV000019,SKU4226,Product_SKU4226,Machinery,WH01,Mumbai,2304,954,7602,4366,2024-01-01,9,20.89,0.3,0,0,1
INV000020,SKU1353,Product_SKU1353,Chemicals,WH01,Mumbai,3891,123,6871,4585,2024-01-01,4,17.98,0.57,0,0,1
INV000021,SKU5197,Product_SKU5197,Chemicals,WH01,Mumbai,4936,561,1244,5181,2024-01-01,18,2.88,3.97,0,0,1
INV000022,SKU4810,Product_SKU4810,Textiles,WH01,Mumbai,4193,1156,4615,4337,2024-01-01,11,12.77,0.91,0,0,1
INV000023,SKU5015,Product_SKU5015,Electronics,WH01,Mumbai,5435,1332,3597,3607,2024-01-01,22,11.97,1.51,0,0,1
INV000024,SKU5787,Product_SKU5787,Machinery,WH01,Mumbai,9953,1080,3616,6518,2024-01-01,6,6.66,2.75,0,0,1
INV000025,SKU2675,Product_SKU2675,Chemicals,WH01,Mumbai,5278,1588,1450,8567,2024-01-01,3,2.03,3.64,0,0,1
INV000026,SKU5163,Product_SKU5163,Spare Parts,WH01,Mumbai,8133,1485,7503,3990,2024-01-01,21,22.57,1.08,0,1,1
INV000027,SKU5654,Product_SKU5654,Raw Material,WH01,Mumbai,1921,1177,867,5888,2024-01-01,12,1.77,2.22,0,0,1
INV000028,SKU1044,Product_SKU1044,Packaging,WH01,Mumbai,9637,592,5685,4407,2024-01-01,10,15.48,1.7,0,1,1
INV000029,SKU4740,Product_SKU4740,Spare Parts,WH01,Mumbai,784,1046,4304,2521,2024-01-01,22,20.49,0.18,1,0,1
INV000030,SKU2029,Product_SKU2029,Packaging,WH01,Mumbai,9208,1260,1082,5587,2024-01-01,9,2.32,8.51,0,0,1
INV000031,SKU5824,Product_SKU5824,Spare Parts,WH01,Mumbai,7559,911,6014,1033,2024-01-01,21,69.86,1.26,0,1,1
INV000032,SKU4162,Product_SKU4162,Textiles,WH01,Mumbai,3745,882,3474,1532,2024-01-01,9,27.21,1.08,0,1,1
INV000033,SKU2368,Product_SKU2368,Textiles,WH01,Mumbai,9268,1163,5495,1152,2024-01-01,10,57.24,1.69,0,1,1
INV000034,SKU2106,Product_SKU2106,Packaging,WH01,Mumbai,730,987,304,1366,2024-01-01,5,2.67,2.4,1,0,1
INV000035,SKU1707,Product_SKU1707,Chemicals,WH01,Mumbai,8293,183,6368,8797,2024-01-01,4,8.69,1.3,0,0,1
INV000036,SKU5204,Product_SKU5204,Electronics,WH01,Mumbai,8701,231,7446,7078,2024-01-01,9,12.62,1.17,0,0,1
INV000037,SKU3945,Product_SKU3945,Textiles,WH01,Mumbai,7418,1276,3771,7498,2024-01-01,25,6.04,1.97,0,0,1
INV000038,SKU5744,Product_SKU5744,Spare Parts,WH01,Mumbai,2111,1958,5240,3840,2024-01-01,7,16.38,0.4,0,0,1
INV000039,SKU5581,Product_SKU5581,Textiles,WH01,Mumbai,5456,752,4183,4536,2024-01-01,3,11.07,1.3,0,0,1
INV000040,SKU5851,Product_SKU5851,IT Equipment,WH01,Mumbai,8059,471,6393,3374,2024-01-01,22,22.74,1.26,0,1,1
INV000041,SKU5060,Product_SKU5060,Chemicals,WH01,Mumbai,8614,1569,7378,2710,2024-01-01,20,32.67,1.17,0,1,1
INV000042,SKU1026,Product_SKU1026,Raw Material,WH01,Mumbai,4277,1305,5911,749,2024-01-01,27,94.7,0.72,0,1,1
INV000043,SKU1631,Product_SKU1631,Machinery,WH01,Mumbai,9672,370,6680,7243,2024-01-01,27,11.07,1.45,0,0,1
INV000044,SKU2129,Product_SKU2129,Electronics,WH01,Mumbai,68,1225,6756,7681,2024-01-01,17,10.55,0.01,1,0,1
INV000045,SKU1508,Product_SKU1508,Textiles,WH01,Mumbai,1118,122,4200,4115,2024-01-01,22,12.25,0.27,0,0,1
INV000046,SKU1922,Product_SKU1922,Chemicals,WH01,Mumbai,1893,1011,1145,6666,2024-01-01,18,2.06,1.65,0,0,1
INV000047,SKU2584,Product_SKU2584,Spare Parts,WH01,Mumbai,3205,1610,7062,7941,2024-01-01,26,10.67,0.45,0,0,1
INV000048,SKU4536,Product_SKU4536,Machinery,WH01,Mumbai,4464,194,426,8813,2024-01-01,30,0.58,10.48,0,0,1
INV000049,SKU5643,Product_SKU5643,Chemicals,WH01,Mumbai,6556,556,4572,947,2024-01-01,25,57.93,1.43,0,1,1
INV000050,SKU5998,Product_SKU5998,Machinery,WH01,Mumbai,7707,1905,6330,6047,2024-01-01,9,12.56,1.22,0,0,1
INV000051,SKU1898,Product_SKU1898,IT Equipment,WH01,Mumbai,3138,1528,5877,7502,2024-01-01,24,9.4,0.53,0,0,1
INV000052,SKU3753,Product_SKU3753,Electronics,WH01,Mumbai,6406,1342,690,3314,2024-01-01,6,2.5,9.28,0,0,1
INV000053,SKU1575,Product_SKU1575,Electronics,WH01,Mumbai,5473,1135,7076,3812,2024-01-01,3,22.27,0.77,0,0,1
INV000054,SKU5950,Product_SKU5950,Raw Material,WH01,Mumbai,1698,1942,6926,2997,2024-01-01,3,27.73,0.25,1,0,1
INV000055,SKU5716,Product_SKU5716,Electronics,WH01,Mumbai,4553,1467,1569,4852,2024-01-01,18,3.88,2.9,0,0,1
INV000056,SKU4731,Product_SKU4731,Electronics,WH01,Mumbai,7287,1656,142,2033,2024-01-01,13,0.84,51.32,0,1,1
INV000057,SKU1885,Product_SKU1885,Electronics,WH01,Mumbai,9867,1947,6219,1420,2024-01-01,4,52.55,1.59,0,1,1
INV000058,SKU5552,Product_SKU5552,Packaging,WH01,Mumbai,7168,165,5308,3819,2024-01-01,7,16.68,1.35,0,0,1
INV000059,SKU2156,Product_SKU2156,Spare Parts,WH01,Mumbai,9445,574,4228,6128,2024-01-01,10,8.28,2.23,0,0,1
INV000060,SKU2808,Product_SKU2808,Spare Parts,WH01,Mumbai,3748,410,2924,1481,2024-01-01,29,23.69,1.28,0,1,1
INV000061,SKU3327,Product_SKU3327,Packaging,WH01,Mumbai,5383,366,4972,5630,2024-01-01,23,10.6,1.08,0,0,1
INV000062,SKU1101,Product_SKU1101,Machinery,WH01,Mumbai,75,1319,5960,4084,2024-01-01,9,17.51,0.01,1,0,1
INV000063,SKU4457,Product_SKU4457,Machinery,WH01,Mumbai,5644,474,1007,8695,2024-01-01,29,1.39,5.6,0,0,1
INV000064,SKU5283,Product_SKU5283,Packaging,WH01,Mumbai,4269,880,373,4314,2024-01-01,25,1.04,11.45,0,0,1
INV000065,SKU2732,Product_SKU2732,IT Equipment,WH01,Mumbai,9910,659,6588,4593,2024-01-01,27,17.21,1.5,0,1,1
INV000066,SKU4617,Product_SKU4617,Packaging,WH01,Mumbai,5196,496,7728,4585,2024-01-01,9,20.23,0.67,0,0,1
INV000067,SKU4960,Product_SKU4960,Machinery,WH01,Mumbai,8654,1743,7629,6496,2024-01-01,3,14.09,1.13,0,0,1
INV000068,SKU1329,Product_SKU1329,Chemicals,WH01,Mumbai,207,504,6957,1328,2024-01-01,4,62.86,0.03,1,0,1
INV000069,SKU4576,Product_SKU4576,Packaging,WH01,Mumbai,7773,782,2620,8979,2024-01-01,3,3.5,2.97,0,0,1
INV000070,SKU4121,Product_SKU4121,Electronics,WH01,Mumbai,7391,1339,4056,3084,2024-01-01,20,15.78,1.82,0,1,1
INV000071,SKU2981,Product_SKU2981,Chemicals,WH01,Mumbai,271,1387,2510,5000,2024-01-01,23,6.02,0.11,1,0,1
INV000072,SKU3153,Product_SKU3153,Spare Parts,WH01,Mumbai,4518,617,2654,5504,2024-01-01,3,5.79,1.7,0,0,1
INV000073,SKU1673,Product_SKU1673,Textiles,WH01,Mumbai,8112,1572,5189,6437,2024-01-01,13,9.67,1.56,0,0,1
INV000074,SKU3951,Product_SKU3951,IT Equipment,WH01,Mumbai,5139,1773,6923,4386,2024-01-01,14,18.94,0.74,0,0,1
INV000075,SKU2016,Product_SKU2016,Raw Material,WH01,Mumbai,5942,689,5710,5970,2024-01-01,15,11.48,1.04,0,0,1
INV000076,SKU5038,Product_SKU5038,Raw Material,WH01,Mumbai,5331,1969,4241,8004,2024-01-01,16,6.36,1.26,0,0,1
INV000077,SKU4308,Product_SKU4308,Packaging,WH01,Mumbai,676,191,4290,5452,2024-01-01,26,9.44,0.16,0,0,1
INV000078,SKU2060,Product_SKU2060,Textiles,WH01,Mumbai,7692,245,3309,1210,2024-01-01,26,32.82,2.32,0,1,1
INV000079,SKU3548,Product_SKU3548,Electronics,WH01,Mumbai,8991,927,414,8720,2024-01-01,22,0.57,21.72,0,0,1
INV000080,SKU2406,Product_SKU2406,Textiles,WH01,Mumbai,8116,241,6345,734,2024-01-01,9,103.73,1.28,0,1,1
INV000081,SKU3953,Product_SKU3953,IT Equipment,WH01,Mumbai,152,837,844,4498,2024-01-01,15,2.25,0.18,1,0,1
INV000082,SKU4737,Product_SKU4737,IT Equipment,WH01,Mumbai,478,275,5590,8700,2024-01-01,10,7.71,0.09,0,0,1
INV000083,SKU3451,Product_SKU3451,Textiles,WH01,Mumbai,6465,1638,2706,7169,2024-01-01,16,4.53,2.39,0,0,1
INV000084,SKU4403,Product_SKU4403,Spare Parts,WH01,Mumbai,2663,1433,3536,7625,2024-01-01,30,5.56,0.75,0,0,1
INV000085,SKU1522,Product_SKU1522,Packaging,WH01,Mumbai,7385,100,7480,8160,2024-01-01,25,11.0,0.99,0,0,1
INV000086,SKU4797,Product_SKU4797,Electronics,WH01,Mumbai,9759,1405,5906,8365,2024-01-01,25,8.47,1.65,0,0,1
INV000087,SKU4025,Product_SKU4025,Chemicals,WH01,Mumbai,2352,1786,5395,4133,2024-01-01,25,15.66,0.44,0,0,1
INV000088,SKU1681,Product_SKU1681,Raw Material,WH01,Mumbai,9173,1779,6615,1270,2024-01-01,9,62.5,1.39,0,1,1
INV000089,SKU2879,Product_SKU2879,Packaging,WH01,Mumbai,3660,1834,1112,3715,2024-01-01,10,3.59,3.29,0,0,1
INV000090,SKU3149,Product_SKU3149,IT Equipment,WH01,Mumbai,6980,168,7670,2600,2024-01-01,14,35.4,0.91,0,1,1
INV000091,SKU3172,Product_SKU3172,Electronics,WH01,Mumbai,3367,349,4211,2587,2024-01-01,22,19.53,0.8,0,0,1
INV000092,SKU2110,Product_SKU2110,Electronics,WH01,Mumbai,6347,783,4702,7192,2024-01-01,9,7.85,1.35,0,0,1
INV000093,SKU1702,Product_SKU1702,Packaging,WH01,Mumbai,5570,403,5564,5313,2024-01-01,18,12.57,1.0,0,0,1
INV000094,SKU1757,Product_SKU1757,Machinery,WH01,Mumbai,1340,925,6037,7767,2024-01-01,4,9.33,0.22,0,0,1
INV000095,SKU4503,Product_SKU4503,IT Equipment,WH01,Mumbai,3139,1501,6152,1800,2024-01-01,11,41.01,0.51,0,0,1
INV000096,SKU4451,Product_SKU4451,Packaging,WH01,Mumbai,390,992,2064,4250,2024-01-01,15,5.83,0.19,1,0,1
INV000097,SKU4462,Product_SKU4462,Packaging,WH01,Mumbai,2343,333,4431,3885,2024-01-01,13,13.69,0.53,0,0,1
INV000098,SKU4643,Product_SKU4643,Raw Material,WH01,Mumbai,4007,1653,3083,8432,2024-01-01,21,4.39,1.3,0,0,1
INV000099,SKU5873,Product_SKU5873,Machinery,WH01,Mumbai,2424,834,5960,7209,2024-01-01,3,9.92,0.41,0,0,1
INV000100,SKU3640,Product_SKU3640,Textiles,WH01,Mumbai,2080,1012,701,1675,2024-01-01,11,5.02,2.97,0,0,1
INV000101,SKU2130,Product_SKU2130,Machinery,WH01,Mumbai,4343,706,7744,6638,2024-01-01,11,14.0,0.56,0,0,1
INV000102,SKU2689,Product_SKU2689,Raw Material,WH01,Mumbai,5110,1558,7525,4536,2024-01-01,8,19.91,0.68,0,0,1
INV000103,SKU2295,Product_SKU2295,Machinery,WH01,Mumbai,3839,875,5051,1997,2024-01-01,6,30.35,0.76,0,0,1
INV000104,SKU2942,Product_SKU2942,Raw Material,WH01,Mumbai,3929,504,6563,5213,2024-01-01,26,15.11,0.6,0,0,1
INV000105,SKU5199,Product_SKU5199,Chemicals,WH01,Mumbai,4063,1379,711,5556,2024-01-01,9,1.54,5.71,0,0,1
INV000106,SKU4581,Product_SKU4581,Packaging,WH01,Mumbai,9326,945,3740,7872,2024-01-01,19,5.7,2.49,0,0,1
INV000107,SKU1232,Product_SKU1232,Raw Material,WH01,Mumbai,8617,1646,5253,8061,2024-01-01,28,7.82,1.64,0,0,1
INV000108,SKU1042,Product_SKU1042,IT Equipment,WH01,Mumbai,6533,1670,4106,4990,2024-01-01,28,9.87,1.59,0,0,1
INV000109,SKU5382,Product_SKU5382,Packaging,WH01,Mumbai,9714,1571,6085,2628,2024-01-01,21,27.79,1.6,0,1,1
INV000110,SKU3795,Product_SKU3795,Raw Material,WH01,Mumbai,8618,547,2267,2855,2024-01-01,6,9.53,3.8,0,1,1
INV000111,SKU1075,Product_SKU1075,Chemicals,WH01,Mumbai,4007,776,2144,1623,2024-01-01,24,15.85,1.87,0,1,1
INV000112,SKU1809,Product_SKU1809,Chemicals,WH01,Mumbai,7693,1206,3346,5327,2024-01-01,28,7.54,2.3,0,0,1
INV000113,SKU3213,Product_SKU3213,Machinery,WH01,Mumbai,5311,911,6113,3716,2024-01-01,24,19.74,0.87,0,0,1
INV000114,SKU2525,Product_SKU2525,Machinery,WH01,Mumbai,814,136,2431,6135,2024-01-01,23,4.76,0.33,0,0,1
INV000115,SKU4298,Product_SKU4298,Packaging,WH01,Mumbai,8983,1459,3098,7010,2024-01-01,4,5.3,2.9,0,0,1
INV000116,SKU4744,Product_SKU4744,Textiles,WH01,Mumbai,8350,1030,1826,6406,2024-01-01,12,3.42,4.57,0,0,1
INV000117,SKU4974,Product_SKU4974,Spare Parts,WH01,Mumbai,9308,995,4378,7143,2024-01-01,15,7.35,2.13,0,0,1
INV000118,SKU5528,Product_SKU5528,Electronics,WH01,Mumbai,7519,1380,6658,2177,2024-01-01,13,36.7,1.13,0,1,1
INV000119,SKU2939,Product_SKU2939,Packaging,WH01,Mumbai,34,428,435,6064,2024-01-01,30,0.86,0.08,1,0,1
INV000120,SKU1138,Product_SKU1138,Electronics,WH01,Mumbai,7486,137,7282,5174,2024-01-01,17,16.89,1.03,0,0,1
INV000121,SKU4673,Product_SKU4673,Chemicals,WH01,Mumbai,168,1956,2863,4479,2024-01-01,13,7.67,0.06,1,0,1
INV000122,SKU5012,Product_SKU5012,Textiles,WH01,Mumbai,2912,1525,58,2477,2024-01-01,25,0.28,50.21,0,0,1
INV000123,SKU3545,Product_SKU3545,Spare Parts,WH01,Mumbai,5623,904,4886,7854,2024-01-01,28,7.47,1.15,0,0,1
INV000124,SKU3711,Product_SKU3711,Chemicals,WH01,Mumbai,5497,1455,5624,7442,2024-01-01,10,9.07,0.98,0,0,1
INV000125,SKU1854,Product_SKU1854,Packaging,WH01,Mumbai,3804,1830,7809,6631,2024-01-01,20,14.13,0.49,0,0,1
INV000126,SKU5209,Product_SKU5209,Packaging,WH01,Mumbai,6740,1961,3058,8710,2024-01-01,3,4.21,2.2,0,0,1
INV000127,SKU4400,Product_SKU4400,Raw Material,WH01,Mumbai,2514,618,4936,5952,2024-01-01,11,9.95,0.51,0,0,1
INV000128,SKU3985,Product_SKU3985,Machinery,WH01,Mumbai,1576,695,5137,1516,2024-01-01,30,40.66,0.31,0,0,1
INV000129,SKU2645,Product_SKU2645,IT Equipment,WH01,Mumbai,1981,1573,3686,4778,2024-01-01,27,9.26,0.54,0,0,1
INV000130,SKU4568,Product_SKU4568,Electronics,WH01,Mumbai,3003,1238,6882,3314,2024-01-01,7,24.92,0.44,0,0,1
INV000131,SKU2040,Product_SKU2040,Spare Parts,WH01,Mumbai,2109,532,2773,2001,2024-01-01,11,16.63,0.76,0,0,1
INV000132,SKU3769,Product_SKU3769,Raw Material,WH01,Mumbai,8787,1969,6520,4935,2024-01-01,11,15.85,1.35,0,0,1
INV000133,SKU5088,Product_SKU5088,Textiles,WH01,Mumbai,5490,398,6170,2416,2024-01-01,13,30.65,0.89,0,1,1
INV000134,SKU5971,Product_SKU5971,Chemicals,WH01,Mumbai,38,485,6982,6071,2024-01-01,30,13.8,0.01,1,0,1
INV000135,SKU4259,Product_SKU4259,Raw Material,WH01,Mumbai,3433,1224,6494,2652,2024-01-01,25,29.38,0.53,0,0,1
INV000136,SKU3107,Product_SKU3107,Electronics,WH01,Mumbai,2135,1996,1712,4408,2024-01-01,21,4.66,1.25,0,0,1
INV000137,SKU2801,Product_SKU2801,Spare Parts,WH01,Mumbai,225,1554,464,4773,2024-01-01,15,1.17,0.48,1,0,1
