PO_ID,Vendor_ID,Product_Category,Product_SKU,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Ordered_Quantity,Unit_Price_INR,Total_Order_Value,Order_Status,Warehouse_ID,Delivery_Delay_Days,Late_Delivery,Order_Month,Order_Quarter
PO0040912,VND00663,IT Equipment,SKU1091,2023-03-22,2023-04-11,2023-04-26,4905,2134.25,10468496.25,Pending,WH05,15,1,2023-03,2023Q1
PO0038680,VND00909,Textiles,SKU5507,2022-07-20,2022-08-13,2022-08-28,2879,2376.07,6840705.53,Cancelled,WH09,15,1,2022-07,2022Q3
PO0002642,VND00586,Raw Material,SKU3114,2023-06-29,2023-07-04,2023-07-09,3891,3275.73,12745865.43,Partially Received,WH03,5,1,2023-06,2023Q2
PO0007142,VND00239,Packaging,SKU3711,2024-07-11,2024-07-21,2024-07-21,2726,2575.31,7020295.06,Partially Received,WH02,0,0,2024-07,2024Q3
PO0001383,VND00509,Textiles,SKU3497,2023-05-16,2023-05-21,2023-05-21,4098,3576.62,14656988.76,Partially Received,WH03,0,0,2023-05,2023Q2
PO0018893,VND00401,Electronics,SKU1315,2022-12-02,2022-12-28,2022-12-25,2265,3955.3,8958754.5,Partially Received,WH08,-3,0,2022-12,2022Q4
PO0044463,VND00336,Raw Material,SKU4988,2021-09-10,2021-09-19,,3184,2600.45,8279832.8,Pending,WH03,,,2021-09,2021Q3
PO0029205,VND00669,Electronics,SKU1919,2022-04-13,2022-05-12,2022-06-11,1838,4098.41,7532877.58,Cancelled,WH10,30,1,2022-04,2022Q2
PO0014478,VND00245,Machinery,SKU1192,2021-01-12,2021-01-29,2021-02-28,3601,4392.1,15815952.1,In Transit,WH08,30,1,2021-01,2021Q1
PO0014771,VND00692,Chemicals,SKU3926,2023-01-12,2023-01-24,2023-01-26,4910,2180.98,10708611.8,Pending,WH07,2,1,2023-01,2023Q1
PO0028395,VND00416,Spare Parts,SKU3474,2024-08-06,2024-08-15,,995,1956.84,1947055.8,Cancelled,WH02,,,2024-08,2024Q3
PO0021314,VND00966,Textiles,SKU3750,2023-11-20,2023-12-15,2023-12-15,3163,2709.91,8571445.33,Cancelled,WH03,0,0,2023-11,2023Q4
PO0012338,VND00421,Packaging,SKU4967,2021-10-19,2021-10-24,2021-11-23,1580,1079.73,1705973.4,Pending,WH02,30,1,2021-10,2021Q4
PO0036293,VND00288,Machinery,SKU1617,2021-02-02,2021-02-18,2021-03-20,2085,1897.17,3955599.45,Pending,WH07,30,1,2021-02,2021Q1
PO0023089,VND00648,Machinery,SKU3139,2021-11-06,2021-11-12,2021-11-14,2486,1847.6,4593133.6,In Transit,WH01,2,1,2021-11,2021Q4
PO0016685,VND00530,IT Equipment,SKU1621,2024-11-03,2024-11-21,2024-11-23,3938,1741.35,6857436.3,Pending,WH01,2,1,2024-11,2024Q4
PO0011403,VND00020,Textiles,SKU4966,2021-07-29,2021-08-16,2021-09-15,2752,4084.5,11240544.0,Pending,WH03,30,1,2021-07,2021Q3
PO0039586,VND00217,Raw Material,SKU3096,2021-01-09,2021-02-07,2021-02-04,1147,3625.18,4158081.46,Received,WH01,-3,0,2021-01,2021Q1
PO0020593,VND00807,Raw Material,SKU4769,2023-02-06,2023-03-06,2023-03-06,830,1186.75,985002.5,Cancelled,WH04,0,0,2023-02,2023Q1
PO0023427,VND00305,Raw Material,SKU2598,2022-07-11,2022-08-05,2022-08-02,2467,3768.15,9296026.05,Pending,WH09,-3,0,2022-07,2022Q3
PO0038678,VND00009,Machinery,SKU5845,2021-03-07,2021-03-17,2021-03-17,2213,4136.58,9154251.54,Partially Received,WH10,0,0,2021-03,2021Q1
PO0031367,VND00641,Textiles,SKU2106,2022-12-08,2022-12-22,2022-12-22,3205,4258.65,13648973.25,In Transit,WH09,0,0,2022-12,2022Q4
PO0029019,VND00491,Textiles,SKU5657,2023-08-06,2023-08-25,2023-09-24,3138,2486.05,7801224.9,In Transit,WH04,30,1,2023-08,2023Q3
PO0045108,VND00302,Electronics,SKU2729,2023-12-13,2023-12-29,2024-01-03,1262,2794.24,3526330.88,Cancelled,WH01,5,1,2023-12,2023Q4
PO0007489,VND00096,Packaging,SKU4393,2023-12-21,2024-01-03,2024-01-18,2038,1857.61,3785809.18,Partially Received,WH05,15,1,2023-12,2023Q4
PO0004650,VND00988,IT Equipment,SKU5172,2023-10-11,2023-11-07,2023-11-12,1710,1602.03,2739471.3,Cancelled,WH06,5,1,2023-10,2023Q4
PO0044429,VND00303,Machinery,SKU1934,2021-10-15,2021-10-23,2021-11-07,4585,3452.13,15828016.05,Cancelled,WH07,15,1,2021-10,2021Q4
PO0002634,VND00479,IT Equipment,SKU2908,2024-01-16,2024-02-12,2024-03-13,2674,3044.47,8140912.78,Received,WH09,30,1,2024-01,2024Q1
PO0000512,VND00497,Packaging,SKU4963,2023-10-12,2023-11-02,2023-11-02,3132,3874.69,12135529.08,In Transit,WH02,0,0,2023-10,2023Q4
PO0033405,VND00228,Electronics,SKU2603,2024-10-29,2024-11-17,2024-11-17,772,1147.55,885908.6,Partially Received,WH04,0,0,2024-10,2024Q4
PO0043658,VND00836,Textiles,SKU4499,2022-03-01,2022-03-19,2022-03-19,3913,4825.04,18880381.52,Received,WH06,0,0,2022-03,2022Q1
PO0037472,VND00971,Textiles,SKU1022,2023-05-20,2023-06-15,2023-06-12,2558,1511.26,3865803.08,Cancelled,WH06,-3,0,2023-05,2023Q2
PO0023918,VND00412,Textiles,SKU1601,2023-12-30,2024-01-15,2024-01-30,3404,3398.93,11569957.72,In Transit,WH01,15,1,2023-12,2023Q4
PO0028575,VND00389,IT Equipment,SKU5963,2021-01-09,2021-01-20,2021-01-17,1098,3278.51,3599803.98,Pending,WH09,-3,0,2021-01,2021Q1
PO0030099,VND00384,Textiles,SKU3428,2021-02-18,2021-03-12,2021-03-27,3243,3569.85,11577023.55,In Transit,WH05,15,1,2021-02,2021Q1
PO0014070,VND00492,Raw Material,SKU1320,2022-12-21,2022-12-26,2022-12-28,1606,3939.16,6326290.96,In Transit,WH06,2,1,2022-12,2022Q4
PO0019651,VND00912,Electronics,SKU4867,2021-03-05,2021-03-12,2021-03-09,2852,3824.93,10908700.36,Partially Received,WH05,-3,0,2021-03,2021Q1
PO0013521,VND00034,Machinery,SKU4395,2022-04-12,2022-04-29,2022-05-14,1300,1455.9,1892670.0,Cancelled,WH04,15,1,2022-04,2022Q2
PO0047100,VND00049,Textiles,SKU5794,2023-07-30,2023-08-19,2023-08-19,4313,2264.89,9768470.57,In Transit,WH07,0,0,2023-07,2023Q3
PO0002502,VND00656,Raw Material,SKU5256,2024-12-20,2025-01-04,2025-01-04,4131,1629.28,6730555.68,Pending,WH05,0,0,2024-12,2024Q4
PO0041589,VND00874,Spare Parts,SKU4048,2021-04-09,2021-04-29,2021-05-09,1815,3419.61,6206592.15,In Transit,WH10,10,1,2021-04,2021Q2
PO0022121,VND00546,IT Equipment,SKU2189,2023-10-09,2023-10-29,2023-11-13,3824,1186.47,4537061.28,Cancelled,WH04,15,1,2023-10,2023Q4
PO0038954,VND00213,Machinery,SKU2143,2021-07-24,2021-08-19,2021-09-18,1095,4498.44,4925791.8,Unknown,WH04,30,1,2021-07,2021Q3
PO0004566,VND00335,Packaging,SKU1517,2022-12-14,2023-01-05,2023-01-05,4143,1056.06,4375256.58,In Transit,WH06,0,0,2022-12,2022Q4
PO0000883,VND00951,Textiles,SKU3203,2022-04-12,2022-05-08,2022-05-05,4730,132.69,627623.7,Cancelled,WH01,-3,0,2022-04,2022Q2
PO0044210,VND00612,Chemicals,SKU5669,2021-06-07,2021-06-19,2021-06-19,2939,607.43,1785236.77,Partially Received,WH03,0,0,2021-06,2021Q2
PO0029672,VND00590,Electronics,SKU2308,2022-10-20,2022-10-31,,1081,3712.01,4012682.81,Pending,WH01,,,2022-10,2022Q4
PO0021996,VND00729,IT Equipment,SKU1540,2022-01-30,2022-02-21,2022-03-23,1546,4674.76,7227178.96,Partially Received,WH08,30,1,2022-01,2022Q1
