Return_ID,PO_ID,Vendor_ID,Product_SKU,Product_Category,Return_Date,Return_Reason,Return_Qty,Unit_Price_INR,Return_Value,High_Value_Return,Approved_By,Refund_Status,Return_Month
RET0004349,PO0038264,VND00326,SKU3119,Textiles,2023-08-26,Damaged Packaging,123,997.99,122752.77,0,Manager_B,Processed,2023-08
RET0004836,PO0027837,VND00546,SKU2560,Machinery,2024-06-11,Wrong Item Delivered,373,411.87,153627.51,0,Unassigned,Processed,2024-06
RET0003717,PO0011213,VND00599,SKU2096,Textiles,2024-07-08,Unknown,175,1823.76,319158.0,0,Unassigned,Processed,2024-07
RET0000111,PO0012387,VND00344,SKU4338,IT Equipment,2021-09-12,Wrong Item Delivered,277,3316.22,918592.94,0,Unassigned,Pending,2021-09
RET0003882,PO0013395,VND00504,SKU5567,Machinery,2023-10-26,Defective Item,370,3956.19,1463790.3,0,Manager_A,Rejected,2023-10
RET0001476,PO0033559,VND00433,SKU2911,Packaging,2024-09-06,Quality Failure,389,4029.99,1567666.11,1,Manager_A,Processed,2024-09
RET0003060,PO0038996,VND00263,SKU2175,Packaging,2024-02-25,Damaged Packaging,110,2225.41,244795.1,0,Manager_B,Rejected,2024-02
RET0000586,PO0026010,VND00772,SKU5728,Textiles,2022-08-29,Expired Product,278,1306.78,363284.84,0,Manager_B,Pending,2022-08
RET0000691,PO0007958,VND00300,SKU1230,IT Equipment,2023-02-16,Wrong Quantity,429,1610.65,690968.85,0,Manager_B,Processed,2023-02
RET0004081,PO0031035,VND00970,SKU4924,Raw Material,2021-09-10,Quality Failure,53,4082.98,216397.94,0,Manager_C,Processed,2021-09
RET0001864,PO0004435,VND00465,SKU4057,Electronics,2023-04-27,Quality Failure,161,3915.43,630384.23,0,Manager_A,Processed,2023-04
RET0003564,PO0003383,VND00349,SKU2681,IT Equipment,2023-09-11,Quality Failure,255,3552.87,905981.85,0,Manager_A,Processed,2023-09
RET0001207,PO0037178,VND00510,SKU5823,Spare Parts,2023-06-19,Damaged Packaging,332,4737.67,1572906.44,1,Manager_B,Processed,2023-06
RET0001536,PO0039645,VND00341,SKU5194,Electronics,2024-11-20,Overshipment,288,3244.45,934401.6,0,Unassigned,Processed,2024-11
RET0002739,PO0044611,VND00231,SKU5328,IT Equipment,2023-09-06,Overshipment,244,111.46,27196.24,0,Unassigned,Processed,2023-09
RET0000781,PO0023039,VND00198,SKU4480,Machinery,2023-08-06,Quality Failure,19,1347.25,25597.75,0,Manager_A,Processed,2023-08
RET0002979,PO0023535,VND00317,SKU5034,Electronics,2023-11-14,Wrong Quantity,222,1422.26,315741.72,0,Manager_A,Processed,2023-11
RET0004884,PO0037996,VND00360,SKU2244,IT Equipment,2022-02-12,Wrong Quantity,416,1927.5,801840.0,0,Manager_A,Processed,2022-02
RET0000414,PO0026456,VND00715,SKU3481,Packaging,2022-12-03,Expired Product,61,4230.26,258045.86,0,Manager_C,Processed,2022-12
RET0000453,PO0002368,VND00454,SKU5603,Raw Material,2023-09-19,Expired Product,239,1744.93,417038.27,0,Manager_B,Pending,2023-09
