Shipment_ID,PO_ID,Vendor_ID,Shipment_Mode,Carrier_Name,Dispatch_Date,Delivered_Date,Freight_Cost_INR,Shipment_Weight_KG,Freight_Cost_Per_KG,Origin_Country,Destination_Warehouse,Damage_Flag,Transit_Days,Month_Start
SHP00000001,PO0003778,VND00493,Air,DTDC,2023-04-18,2023-04-30,154728.04,6462.0,23.94,Malaysia,WH06,No,12,2023-04-01
SHP00000002,PO0012646,VND00046,Rail,DHL,2024-12-03,2025-01-13,49687.09,2748.8,18.08,Vietnam,WH04,No,41,2024-12-01
SHP00000003,PO0001510,VND00130,Rail,DTDC,2024-05-10,2024-06-11,167678.55,2361.1,71.02,India,WH10,No,32,2024-05-01
SHP00000004,PO0047439,VND00183,Air,Hapag-Lloyd,2023-08-08,2023-08-12,80108.16,9823.8,8.15,China,WH03,No,4,2023-08-01
SHP00000005,PO0028410,VND00221,Rail,Ecom Express,2024-03-27,2024-05-08,51101.47,6121.0,8.35,South Korea,WH02,No,42,2024-03-01
SHP00000006,PO0004710,VND00947,Sea,BlueDart,2021-05-20,2021-07-01,63825.3,15047.8,4.24,Japan,WH07,No,42,2021-05-01
SHP00000007,PO0011019,VND00247,Air,Gati,2022-06-08,2022-07-17,11296.91,16250.6,0.7,China,WH06,No,39,2022-06-01
SHP00000008,PO0036731,VND00261,Rail,DTDC,2022-11-01,2022-11-28,109269.56,15903.1,6.87,India,WH05,No,27,2022-11-01
SHP00000009,PO0007639,VND00549,Sea,FedEx,2022-09-07,2022-09-13,157124.85,7801.2,20.14,South Korea,WH09,No,6,2022-09-01
SHP00000010,PO0029982,VND00969,Sea,DHL,2021-01-25,2021-03-09,59123.78,7965.7,7.42,Bangladesh,WH08,Yes,43,2021-01-01
SHP00000011,PO0005176,VND00914,Rail,FedEx,2023-06-18,,195534.18,12780.1,15.3,Malaysia,WH10,No,,2023-06-01
SHP00000012,PO0014309,VND00843,Road,DTDC,2022-03-04,2022-03-18,203427.25,6254.9,32.52,Japan,WH10,No,14,2022-03-01
SHP00000013,PO0036159,VND00486,Rail,BlueDart,2021-09-08,,135998.0,11235.8,12.1,Bangladesh,WH06,No,,2021-09-01
SHP00000014,PO0034557,VND00878,Sea,Hapag-Lloyd,2023-04-21,2023-04-30,158536.77,15612.2,10.15,Bangladesh,WH04,No,9,2023-04-01
SHP00000015,PO0026986,VND00641,Road,DHL,2021-10-11,2021-10-29,11154.87,752.3,14.83,Malaysia,WH05,Yes,18,2021-10-01
SHP00000016,PO0043528,VND00669,Road,Maersk,2024-05-08,2024-05-09,145972.33,432.7,337.35,Germany,WH04,No,1,2024-05-01
SHP00000017,PO0017803,VND00576,Road,Maersk,2023-04-19,2023-05-21,192023.65,7006.8,27.41,Thailand,WH10,No,32,2023-04-01
SHP00000018,PO0010617,VND00315,Air,Gati,2021-11-14,2021-11-26,1684.64,9482.5,0.18,China,WH06,No,12,2021-11-01
SHP00000019,PO0020256,VND00886,Sea,Maersk,2022-10-23,2022-11-25,47179.58,8813.1,5.35,Vietnam,WH10,No,33,2022-10-01
SHP00000020,PO0019930,VND00456,Air,Maersk,2021-10-08,2021-11-10,211595.21,4687.7,45.14,South Korea,WH02,No,33,2021-10-01
SHP00000021,PO0028935,VND00260,Sea,Hapag-Lloyd,2021-08-01,2021-09-02,40432.12,10352.2,3.91,Thailand,WH05,No,32,2021-08-01
SHP00000022,PO0037330,VND00943,Rail,Ecom Express,2021-08-14,2021-08-18,132598.64,13337.3,9.94,Japan,WH07,Yes,4,2021-08-01
SHP00000023,PO0008270,VND00105,Road,Gati,2021-03-23,2021-04-30,123898.76,390.6,317.2,USA,WH03,Yes,38,2021-03-01
SHP00000024,PO0011494,VND00494,Road,DHL,2021-01-14,2021-01-21,223963.13,16414.7,13.64,Thailand,WH02,No,7,2021-01-01
SHP00000025,PO0038657,VND00333,Sea,DTDC,2024-03-11,2024-04-02,239396.69,10498.9,22.8,Vietnam,WH03,No,22,2024-03-01
SHP00000026,PO0038776,VND00307,Sea,BlueDart,2021-07-24,2021-08-31,170144.5,7767.4,21.9,Japan,WH09,No,38,2021-07-01
SHP00000027,PO0044486,VND00096,Air,Maersk,2021-08-20,2021-10-01,102879.17,17797.7,5.78,USA,WH03,No,42,2021-08-01
SHP00000028,PO0022294,VND00921,Air,FedEx,2022-02-11,2022-02-25,193045.86,19187.5,10.06,Japan,WH02,No,14,2022-02-01
SHP00000029,PO0010066,VND00183,Air,BlueDart,2022-02-09,2022-02-19,146847.91,4713.5,31.15,China,WH05,No,10,2022-02-01
SHP00000030,PO0031919,VND00772,Rail,FedEx,2023-04-09,2023-04-28,197665.68,17568.2,11.25,Thailand,WH07,No,19,2023-04-01
SHP00000031,PO0018874,VND00105,Rail,FedEx,2021-01-07,2021-02-11,198741.28,2505.4,79.33,South Korea,WH01,No,35,2021-01-01
SHP00000032,PO0042508,VND00392,Sea,Maersk,2024-11-27,2024-12-31,42828.08,5490.1,7.8,USA,WH07,No,34,2024-11-01
SHP00000033,PO0000363,VND00631,Road,Ecom Express,2023-11-02,2023-11-28,223794.38,14255.8,15.7,Vietnam,WH02,No,26,2023-11-01
SHP00000034,PO0001419,VND00789,Sea,Ecom Express,2022-12-05,2022-12-14,15620.42,1804.5,8.66,Bangladesh,WH07,Yes,9,2022-12-01
SHP00000035,PO0040535,VND00650,Road,Ecom Express,2024-12-06,2024-12-29,83599.4,3923.7,21.31,South Korea,WH08,No,23,2024-12-01
SHP00000036,PO0046860,VND00242,Air,FedEx,2023-08-13,2023-09-17,191571.45,18822.8,10.18,Vietnam,WH04,No,35,2023-08-01
SHP00000037,PO0017475,VND00362,Air,Hapag-Lloyd,2024-05-02,2024-06-07,158010.41,16196.5,9.76,Malaysia,WH05,No,36,2024-05-01
SHP00000038,PO0041929,VND00279,Air,Maersk,2021-02-27,2021-02-28,11605.66,11155.6,1.04,South Korea,WH03,Yes,1,2021-02-01
