Vendor_ID,Vendor_Name,Vendor_Category,Country,Reliability_Score,Reliability_Score_Flag,Lead_Time_Days,Vendor_Tier,Contact_Email,Active_Since_Year
VND00757,Vendor_0757,Logistics,Malaysia,73.4,Valid,38,Tier 2,contact756@vendor756.com,2017
VND00464,Vendor_0464,Machinery,India,70.8,Valid,6,Tier 2,contact463@vendor463.com,2008
VND00868,Vendor_0868,Machinery,Thailand,42.7,Valid,34,Tier 3,contact867@vendor867.com,2016
VND00497,Vendor_0497,Electronics,Vietnam,70.9,Valid,39,Tier 2,contact496@vendor496.com,2005
VND00634,Vendor_0634,Textiles,South Korea,67.2,Valid,25,Tier 2,contact633@vendor633.com,2022
VND00289,Vendor_0289,Logistics,Vietnam,50.1,Valid,31,Tier 3,contact288@vendor288.com,2013
VND00052,Vendor_0052,Logistics,China,84.3,Valid,36,Tier 1,contact51@vendor51.com,2021
VND00243,Vendor_0243,Logistics,Thailand,94.0,Valid,32,Tier 1,contact242@vendor242.com,2009
VND00224,Vendor_0224,Packaging,Unknown,55.7,Valid,15,Tier 3,contact223@vendor223.com,2012
VND00087,Vendor_0087,Raw Material,USA,81.1,Valid,41,Tier 1,contact86@vendor86.com,2015
VND00953,Vendor_0953,Chemicals,South Korea,42.3,Valid,15,Tier 3,contact952@vendor952.com,2017
VND00037,Vendor_0037,Electronics,South Korea,51.3,Valid,25,Tier 3,contact36@vendor36.com,2005
VND00436,Vendor_0436,IT Services,Malaysia,79.1,Valid,21,Tier 2,contact435@vendor435.com,2011
VND00447,Vendor_0447,IT Services,South Korea,99.0,Valid,34,Tier 1,contact446@vendor446.com,2006
VND00061,Vendor_0061,Electronics,China,57.2,Valid,31,Tier 3,contact60@vendor60.com,2016
VND00945,Vendor_0945,Textiles,Japan,44.4,Valid,6,Tier 3,contact944@vendor944.com,2005
VND00672,Vendor_0672,Unknown,Vietnam,92.8,Valid,27,Tier 1,contact671@vendor671.com,2022
VND00791,Vendor_0791,Unknown,Malaysia,40.7,Valid,21,Tier 3,contact790@vendor790.com,2022
VND00500,Vendor_0500,Electronics,Thailand,99.0,Valid,43,Tier 1,contact499@vendor499.com,2022
VND00475,Vendor_0475,Electronics,Thailand,66.9,Valid,36,Tier 2,contact474@vendor474.com,2011
VND00146,Vendor_0146,Raw Material,Bangladesh,32.6,Valid,39,Tier 3,contact145@vendor145.com,2008
VND00682,Vendor_0682,Textiles,South Korea,48.1,Valid,23,Tier 3,contact681@vendor681.com,2021
VND00445,Vendor_0445,Machinery,South Korea,86.9,Valid,24,Tier 1,contact444@vendor444.com,2009
VND00270,Vendor_0270,Raw Material,Thailand,50.6,Valid,13,Tier 3,contact269@vendor269.com,2009
VND00983,Vendor_0983,Electronics,Japan,37.5,Valid,9,Tier 3,contact982@vendor982.com,2011
VND00482,Vendor_0482,Raw Material,South Korea,78.7,Valid,20,Tier 2,contact481@vendor481.com,2006
VND00755,Vendor_0755,Packaging,China,,Out of Range (0-100),20,Unclassified,contact754@vendor754.com,2021
VND00060,Vendor_0060,Textiles,Unknown,52.8,Valid,6,Tier 3,contact59@vendor59.com,2022
VND00229,Vendor_0229,Machinery,USA,,Out of Range (0-100),33,Unclassified,contact228@vendor228.com,2008
VND00958,Vendor_0958,Textiles,China,33.3,Valid,31,Tier 3,contact957@vendor957.com,2014
VND00963,Vendor_0963,Electronics,India,47.2,Valid,25,Tier 3,contact962@vendor962.com,2018
VND00875,Vendor_0875,Logistics,Thailand,31.8,Valid,38,Tier 3,contact874@vendor874.com,2020
VND00845,Vendor_0845,Raw Material,South Korea,40.4,Valid,19,Tier 3,contact844@vendor844.com,2010
VND00442,Vendor_0442,Logistics,Japan,99.1,Valid,8,Tier 1,contact441@vendor441.com,2013
VND00018,Vendor_0018,Chemicals,Malaysia,66.7,Valid,17,Tier 2,contact17@vendor17.com,2022
VND00977,Vendor_0977,Raw Material,Bangladesh,71.7,Valid,21,Tier 2,contact976@vendor976.com,2006
VND00800,Vendor_0800,IT Services,Japan,94.6,Valid,39,Tier 1,contact799@vendor799.com,
VND01000,Vendor_1000,Chemicals,Japan,61.2,Valid,9,Tier 2,Not Provided,2014
VND00269,Vendor_0269,Unknown,China,55.2,Valid,31,Tier 3,contact268@vendor268.com,2015
VND00011,Vendor_0011,Logistics,Malaysia,31.4,Valid,18,Tier 3,contact10@vendor10.com,2006
VND00718,Vendor_0718,Textiles,Germany,97.6,Valid,41,Tier 1,contact717@vendor717.com,
VND00513,Vendor_0513,Textiles,Malaysia,95.3,Valid,26,Tier 1,contact512@vendor512.com,2010
VND00186,Vendor_0186,Logistics,India,76.2,Valid,42,Tier 2,contact185@vendor185.com,2019
VND00470,Vendor_0470,Chemicals,Bangladesh,97.4,Valid,38,Tier 1,contact469@vendor469.com,2011
VND00411,Vendor_0411,Electronics,China,52.4,Valid,43,Tier 3,contact410@vendor410.com,2022
VND00710,Vendor_0710,Textiles,Vietnam,77.7,Valid,6,Tier 2,contact709@vendor709.com,2020
VND00486,Vendor_0486,Raw Material,South Korea,93.1,Valid,35,Tier 1,contact485@vendor485.com,2018
VND00694,Vendor_0694,Machinery,Germany,47.0,Valid,21,Tier 3,contact693@vendor693.com,2013
VND00580,Vendor_0580,Electronics,USA,48.1,Valid,10,Tier 3,contact579@vendor579.com,2012
VND00405,Vendor_0405,Logistics,USA,52.4,Valid,11,Tier 3,contact404@vendor404.com,2014
VND00532,Vendor_0532,Chemicals,Vietnam,100.0,Valid,3,Tier 1,contact531@vendor531.com,2016
VND00042,Vendor_0042,Textiles,South Korea,64.7,Valid,41,Tier 2,contact41@vendor41.com,2010
VND00964,Vendor_0964,Logistics,South Korea,57.3,Valid,21,Tier 3,contact963@vendor963.com,2008
VND00222,Vendor_0222,Logistics,South Korea,69.8,Valid,4,Tier 2,contact221@vendor221.com,2006
VND00386,Vendor_0386,Electronics,Japan,86.2,Valid,43,Tier 1,contact385@vendor385.com,2019
VND00330,Vendor_0330,Raw Material,South Korea,47.3,Valid,5,Tier 3,contact329@vendor329.com,2019
VND00056,Vendor_0056,Unknown,Japan,94.5,Valid,28,Tier 1,contact55@vendor55.com,2009
VND00174,Vendor_0174,Packaging,Malaysia,45.9,Valid,39,Tier 3,contact173@vendor173.com,2010
VND00980,Vendor_0980,Packaging,Unknown,71.8,Valid,23,Tier 2,contact979@vendor979.com,2009
VND00498,Vendor_0498,Packaging,Germany,35.4,Valid,7,Tier 3,contact497@vendor497.com,2022
VND00335,Vendor_0335,Chemicals,China,33.2,Valid,17,Tier 3,contact334@vendor334.com,2018
VND00392,Vendor_0392,Logistics,Germany,58.9,Valid,24,Tier 3,contact391@vendor391.com,2010
VND00144,Vendor_0144,Raw Material,Thailand,51.1,Valid,6,Tier 3,contact143@vendor143.com,2005
VND00662,Vendor_0662,Electronics,Bangladesh,99.1,Valid,11,Tier 1,contact661@vendor661.com,2006
VND00855,Vendor_0855,IT Services,Unknown,44.4,Valid,42,Tier 3,contact854@vendor854.com,2008
VND00550,Vendor_0550,Machinery,Unknown,84.1,Valid,11,Tier 1,contact549@vendor549.com,2021
VND00092,Vendor_0092,Raw Material,South Korea,79.9,Valid,5,Tier 2,contact91@vendor91.com,2007
VND00334,Vendor_0334,Electronics,South Korea,38.1,Valid,22,Tier 3,contact333@vendor333.com,2020
VND00176,Vendor_0176,Raw Material,Unknown,42.2,Valid,30,Tier 3,contact175@vendor175.com,2021
VND00563,Vendor_0563,Electronics,Bangladesh,39.5,Valid,44,Tier 3,contact562@vendor562.com,2016
VND00180,Vendor_0180,Machinery,Germany,39.6,Valid,42,Tier 3,contact179@vendor179.com,
VND00152,Vendor_0152,Logistics,Bangladesh,46.8,Valid,31,Tier 3,contact151@vendor151.com,2020
VND00679,Vendor_0679,IT Services,South Korea,97.9,Valid,17,Tier 1,contact678@vendor678.com,2021
VND00396,Vendor_0396,IT Services,India,95.2,Valid,41,Tier 1,contact395@vendor395.com,2017
VND00548,Vendor_0548,Machinery,Bangladesh,77.0,Valid,16,Tier 2,contact547@vendor547.com,2012
VND00077,Vendor_0077,Packaging,Bangladesh,84.0,Valid,34,Tier 1,contact76@vendor76.com,2008
