Month_Start,Shipments,Total_Freight,Avg_Freight
2021-01-01,431,54240273.31,125847.5
2021-02-01,395,49500345.23,125317.33
2021-03-01,417,52334823.29,125503.17
2021-04-01,416,51775583.11,124460.54
2021-05-01,434,54947110.19,126606.24
2021-06-01,392,50660444.72,129235.83
2021-07-01,444,54773823.5,123364.47
2021-08-01,442,54417191.48,123115.82
2021-09-01,414,49852007.86,120415.48
2021-10-01,426,53284324.04,125080.57
2021-11-01,417,50922871.63,122117.2
2021-12-01,405,49047001.2,121103.71
2022-01-01,426,52759469.12,123848.52
2022-02-01,405,49752538.8,122845.77
2022-03-01,398,46905288.33,117852.48
2022-04-01,373,47352334.24,126949.96
2022-05-01,396,50037744.52,126357.94
2022-06-01,369,45562267.31,123474.98
2022-07-01,445,54008874.14,121368.26
2022-08-01,414,51337048.05,124002.53
2022-09-01,399,50022347.71,125369.29
2022-10-01,437,52610360.68,120389.84
2022-11-01,411,50167937.02,122063.11
2022-12-01,444,57109648.37,128625.33
2023-01-01,416,52463115.84,126113.26
2023-02-01,377,46503874.13,123352.45
2023-03-01,427,53712605.68,125790.65
2023-04-01,413,51804589.77,125434.84
2023-05-01,401,51505986.81,128443.86
2023-06-01,410,52800101.44,128780.74
2023-07-01,428,54759303.03,127942.3
2023-08-01,442,53822027.75,121769.29
2023-09-01,404,50004460.16,123773.42
2023-10-01,397,51538937.16,129821.0
2023-11-01,424,50373644.27,118805.76
2023-12-01,423,53231334.27,125842.4
2024-01-01,384,49497791.56,128900.5
2024-02-01,422,53778595.17,127437.43
2024-03-01,428,52809747.27,123387.26
2024-04-01,402,48039421.15,119501.05
2024-05-01,465,59738996.55,128470.96
2024-06-01,416,53175236.85,127825.09
2024-07-01,443,55779960.39,125914.13
2024-08-01,435,56580306.33,130069.67
2024-09-01,384,50695913.92,132020.61
2024-10-01,406,52155756.27,128462.45
2024-11-01,400,48213220.61,120533.05
2024-12-01,453,55362898.75,122213.9
