Order_Quarter,Procurement_Spend,Orders,QoQ_Growth_Pct
2021Q1,19550467428.16,3150,
2021Q2,19492405306.88,3074,-0.3
2021Q3,19615981630.63,3137,0.63
2021Q4,19847069838.03,3123,1.18
2022Q1,18886522025.14,3042,-4.84
2022Q2,19138743211.53,3099,1.34
2022Q3,19488489435.3,3081,1.83
2022Q4,20103052817.05,3104,3.15
2023Q1,19844744499.77,3127,-1.28
2023Q2,20828800641.85,3235,4.96
2023Q3,19963465181.18,3131,-4.15
2023Q4,19388078576.32,3074,-2.88
2024Q1,20017117349.05,3113,3.24
2024Q2,19396802811.43,3080,-3.1
2024Q3,19946044281.09,3171,2.83
2024Q4,19797151098.5,3123,-0.75
