Vendor_ID,Orders,Late_Orders,Late_Rate_Pct,Avg_Delay_Days,Vendor_Name,Vendor_Category,Vendor_Tier,Reliability_Score
VND00936,47,37.0,80.43,12.22,Vendor_0936,Packaging,Tier 3,49.1
VND00300,44,32.0,76.19,9.86,Vendor_0300,Machinery,Tier 3,36.0
VND00234,53,36.0,75.0,9.92,Vendor_0234,Machinery,Tier 2,64.5
VND00623,47,34.0,73.91,9.07,Vendor_0623,Packaging,Tier 3,55.9
VND00396,43,28.0,73.68,8.45,Vendor_0396,IT Services,Tier 1,95.2
VND00382,43,30.0,73.17,11.59,Vendor_0382,Textiles,Tier 2,78.8
VND00478,44,26.0,72.22,9.39,Vendor_0478,Raw Material,Tier 2,68.8
VND00867,39,28.0,71.79,10.82,Vendor_0867,Textiles,Tier 3,40.9
VND00825,44,30.0,71.43,8.14,Vendor_0825,Machinery,Tier 2,67.6
VND00439,55,37.0,71.15,9.04,Vendor_0439,Machinery,Tier 2,79.4
VND00146,47,32.0,71.11,6.71,Vendor_0146,Raw Material,Tier 3,32.6
VND00946,44,29.0,70.73,8.39,Vendor_0946,Machinery,Tier 3,30.8
VND00975,52,36.0,70.59,7.47,Vendor_0975,Chemicals,Tier 3,32.2
VND00701,52,36.0,70.59,9.76,Vendor_0701,Textiles,Tier 2,67.3
VND00518,46,31.0,70.45,8.14,Vendor_0518,Textiles,Tier 1,86.7
VND00601,41,26.0,70.27,10.57,Vendor_0601,Raw Material,Tier 3,41.8
VND00905,39,26.0,70.27,8.05,Vendor_0905,Textiles,Tier 3,59.5
VND00085,52,33.0,70.21,6.62,Vendor_0085,Chemicals,Tier 3,51.8
VND00020,53,35.0,70.0,6.98,Vendor_0020,Logistics,Tier 3,50.4
VND00781,55,37.0,69.81,6.74,Vendor_0781,Raw Material,Tier 2,78.6
VND00340,47,30.0,69.77,7.4,Vendor_0340,Textiles,Tier 3,36.8
VND00316,48,30.0,69.77,6.33,Vendor_0316,Packaging,Tier 2,78.7
VND00716,46,30.0,69.77,9.53,Vendor_0716,Chemicals,Tier 1,95.1
VND00985,48,30.0,69.77,8.86,Vendor_0985,Packaging,Tier 1,81.0
VND00885,47,32.0,69.57,8.5,Vendor_0885,Packaging,Tier 1,86.0
VND00437,42,25.0,69.44,7.69,Vendor_0437,Raw Material,Tier 3,35.1
VND00687,52,34.0,69.39,8.63,Vendor_0687,Logistics,Tier 2,70.0
VND00934,46,29.0,69.05,9.64,Vendor_0934,Electronics,Tier 2,66.8
VND00047,45,29.0,69.05,8.79,Vendor_0047,Logistics,Tier 3,51.8
VND00993,48,31.0,68.89,8.78,Vendor_0993,Raw Material,Tier 3,49.1
VND00582,49,31.0,68.89,9.09,Vendor_0582,Chemicals,Tier 1,98.6
VND00664,48,31.0,68.89,7.56,Vendor_0664,Packaging,Tier 3,46.6
VND00848,64,42.0,68.85,8.8,Vendor_0848,Packaging,Tier 1,99.8
VND00519,53,33.0,68.75,7.06,Vendor_0519,IT Services,Tier 1,99.1
VND00163,52,33.0,68.75,8.98,Vendor_0163,Raw Material,Tier 2,74.3
VND00397,52,35.0,68.63,6.37,Vendor_0397,Chemicals,Tier 1,90.1
VND00190,61,39.0,68.42,9.68,Vendor_0190,Raw Material,Tier 3,46.9
VND00489,40,26.0,68.42,8.29,Vendor_0489,Packaging,Tier 1,96.5
VND00028,41,26.0,68.42,7.74,Vendor_0028,Machinery,Tier 2,66.0
VND00144,60,39.0,68.42,10.4,Vendor_0144,Raw Material,Tier 3,51.1
VND00760,45,28.0,68.29,8.93,Vendor_0760,Machinery,Unclassified,
VND00226,48,30.0,68.18,5.98,Vendor_0226,Electronics,Tier 3,47.1
VND00211,44,30.0,68.18,8.34,Vendor_0211,Machinery,Tier 2,68.4
VND00276,46,30.0,68.18,8.45,Vendor_0276,Unknown,Tier 2,65.1
VND00771,48,30.0,68.18,8.34,Vendor_0771,Chemicals,Tier 3,37.7
VND00753,51,32.0,68.09,8.68,Vendor_0753,Logistics,Tier 2,73.9
VND00330,51,32.0,68.09,9.32,Vendor_0330,Raw Material,Tier 3,47.3
VND00172,49,32.0,68.09,5.68,Vendor_0172,Textiles,Tier 3,31.2
VND00726,52,34.0,68.0,10.26,Vendor_0726,IT Services,Tier 1,88.9
VND00524,58,36.0,67.92,8.08,Vendor_0524,Packaging,Tier 1,88.9
VND00956,64,40.0,67.8,8.53,Vendor_0956,Chemicals,Tier 3,56.8
VND00799,38,25.0,67.57,7.95,Vendor_0799,Electronics,Tier 2,78.8
VND00598,44,27.0,67.5,10.15,Vendor_0598,Packaging,Tier 3,42.1
VND00599,46,27.0,67.5,7.9,Vendor_0599,Machinery,Tier 3,43.5
VND00648,50,31.0,67.39,5.89,Vendor_0648,Textiles,Tier 2,77.5
VND00541,52,31.0,67.39,6.98,Vendor_0541,Raw Material,Tier 1,96.8
VND00072,50,31.0,67.39,7.61,Vendor_0072,Textiles,Tier 3,43.9
VND00007,53,33.0,67.35,8.78,Vendor_0007,Raw Material,Tier 3,34.1
VND00337,53,35.0,67.31,8.69,Vendor_0337,Electronics,Tier 1,89.9
VND00201,61,41.0,67.21,6.92,Vendor_0201,Electronics,Tier 2,74.9
VND00339,57,36.0,66.67,8.43,Vendor_0339,Machinery,Tier 2,63.2
VND00693,43,26.0,66.67,8.92,Vendor_0693,IT Services,Unclassified,
VND00035,50,30.0,66.67,7.09,Vendor_0035,Textiles,Tier 1,97.6
VND00298,47,26.0,66.67,8.23,Vendor_0298,IT Services,Tier 3,45.1
VND00603,54,34.0,66.67,9.14,Vendor_0603,Packaging,Tier 3,42.4
VND00280,51,32.0,66.67,7.81,Vendor_0280,Packaging,Tier 1,85.7
VND00653,67,42.0,66.67,7.79,Vendor_0653,Logistics,Tier 2,71.1
VND00118,36,22.0,66.67,7.85,Vendor_0118,Logistics,Tier 3,43.1
VND00684,46,28.0,66.67,7.88,Vendor_0684,Machinery,Tier 2,76.8
VND00445,60,38.0,66.67,8.0,Vendor_0445,Machinery,Tier 1,86.9
VND00516,47,28.0,66.67,8.43,Vendor_0516,Chemicals,Tier 3,31.8
VND00831,58,36.0,66.67,8.46,Vendor_0831,Textiles,Tier 3,45.7
VND00748,47,30.0,66.67,6.62,Vendor_0748,Machinery,Tier 2,68.0
VND00205,46,30.0,66.67,7.4,Vendor_0205,Textiles,Tier 2,72.5
VND00725,56,36.0,66.67,9.44,Vendor_0725,IT Services,Tier 2,70.2
VND00123,60,39.0,66.1,8.44,Vendor_0123,Electronics,Tier 3,52.3
VND00066,55,35.0,66.04,7.53,Vendor_0066,Raw Material,Tier 2,68.0
VND00238,56,35.0,66.04,7.3,Vendor_0238,Electronics,Tier 3,31.7
VND00872,60,33.0,66.0,7.82,Vendor_0872,Machinery,Tier 3,49.0
VND00275,55,33.0,66.0,10.88,Vendor_0275,Logistics,Tier 2,65.8
VND00168,51,31.0,65.96,7.49,Vendor_0168,Textiles,Tier 3,43.1
VND00023,50,31.0,65.96,6.49,Vendor_0023,Packaging,Tier 3,50.5
VND00366,48,31.0,65.96,7.72,Vendor_0366,Electronics,Tier 3,57.0
VND00960,46,29.0,65.91,7.66,Vendor_0960,Logistics,Tier 1,81.7
VND00138,47,29.0,65.91,7.57,Vendor_0138,Electronics,Tier 2,79.2
VND00812,45,29.0,65.91,7.68,Vendor_0812,Machinery,Tier 1,88.7
VND00113,46,29.0,65.91,8.7,Vendor_0113,Logistics,Tier 1,95.1
VND00734,45,27.0,65.85,7.46,Vendor_0734,Electronics,Tier 2,66.6
VND00957,41,25.0,65.79,11.24,Vendor_0957,Raw Material,Tier 2,66.3
VND00705,42,25.0,65.79,6.13,Vendor_0705,Packaging,Tier 3,34.4
VND00218,43,25.0,65.79,7.84,Vendor_0218,Raw Material,Tier 1,82.3
VND00128,35,23.0,65.71,8.0,Vendor_0128,Machinery,Tier 1,90.3
VND00660,54,34.0,65.38,5.62,Vendor_0660,Logistics,Tier 2,70.0
VND00193,58,34.0,65.38,8.27,Vendor_0193,Unknown,Tier 1,93.0
VND00912,52,32.0,65.31,7.63,Vendor_0912,IT Services,Tier 3,48.8
VND00393,47,30.0,65.22,8.11,Vendor_0393,Electronics,Tier 3,56.0
VND00924,46,28.0,65.12,7.56,Vendor_0924,IT Services,Tier 1,86.0
VND00627,46,28.0,65.12,10.49,Vendor_0627,Electronics,Tier 2,62.4
VND00709,65,41.0,65.08,8.24,Vendor_0709,Machinery,Tier 3,47.8
VND00472,44,26.0,65.0,10.03,Vendor_0472,Machinery,Tier 1,97.9
VND00533,43,26.0,65.0,8.4,Vendor_0533,Logistics,Tier 1,99.8
VND00575,39,22.0,64.71,8.0,Vendor_0575,IT Services,Tier 1,90.4
VND00391,54,33.0,64.71,7.25,Vendor_0391,Raw Material,Tier 1,99.3
VND00631,36,22.0,64.71,6.24,Vendor_0631,IT Services,Tier 2,79.9
VND00360,53,33.0,64.71,5.96,Vendor_0360,Logistics,Tier 2,70.3
VND00629,51,31.0,64.58,6.0,Vendor_0629,Logistics,Tier 3,32.6
VND00591,53,31.0,64.58,9.35,Vendor_0591,Logistics,Tier 3,39.7
VND00253,52,31.0,64.58,7.98,Vendor_0253,Raw Material,Tier 1,89.6
VND00321,47,29.0,64.44,9.16,Vendor_0321,Chemicals,Tier 2,68.4
VND00322,47,29.0,64.44,8.49,Vendor_0322,Chemicals,Tier 1,80.0
VND00022,49,29.0,64.44,7.27,Vendor_0022,Electronics,Tier 3,39.8
