Metric,Count,Mean,Median,Mode,Std_Dev,Min,Q1,Q3,Max
Vendor Reliability_Score,980,64.26,64.7,42.7,20.5,30.3,46.15,81.95,100.0
Vendor Lead_Time_Days,1000,23.32,23.0,22.0,11.84,0.0,14.0,34.0,44.0
PO Ordered_Quantity,49914,2507.35,2517.5,2031.0,1441.34,0.0,1259.0,3754.0,4999.0
PO Unit_Price_INR,49914,2511.71,2512.44,2552.15,1440.94,5.03,1262.53,3755.56,4999.95
PO Total_Order_Value (INR),49914,6324335.56,4733469.35,0.0,5545348.07,0.0,1729152.59,9663510.36,24860409.0
PO Delivery_Delay_Days,46848,6.59,2.0,0.0,9.89,-3.0,0.0,10.0,30.0
Inventory Stock_On_Hand,30000,5004.33,5025.0,5091.0,2886.6,0.0,2524.75,7492.0,10000.0
Inventory Units_Sold_Last_Month,30000,4052.72,4049.0,4003.0,2287.04,50.0,2080.75,6034.25,8000.0
Inventory_Turnover_Rate,30000,16.56,10.2,7.79,20.56,0.07,5.25,18.59,189.41
Shipment Freight_Cost_INR,19950,124898.72,124955.04,18909.77,72102.76,502.12,62061.76,186839.73,249981.83
Shipment_Weight_KG,19950,9966.53,9927.1,6766.0,5747.25,10.0,4990.3,14984.9,19997.5
Shipment Transit_Days,19494,22.56,23.0,19.0,12.63,1.0,12.0,34.0,44.0
Return_Qty,4970,250.93,250.0,444.0,144.91,1.0,123.0,379.0,499.0
Return_Value (INR),4970,634283.5,472131.34,131.28,553238.83,131.28,175553.4,982713.12,2454835.49
