Product_Category,Order_Quarter,Procurement_Spend,Order_Count
Chemicals,2021Q1,2611944586.16,397
Chemicals,2021Q2,2610036957.93,402
Chemicals,2021Q3,2446942650.29,400
Chemicals,2021Q4,2516905197.81,363
Chemicals,2022Q1,2476090704.18,388
Chemicals,2022Q2,2850244008.47,421
Chemicals,2022Q3,2642387963.52,416
Chemicals,2022Q4,2162289306.4,370
Chemicals,2023Q1,2717399322.82,415
Chemicals,2023Q2,2572448442.54,412
Chemicals,2023Q3,2569977541.13,391
Chemicals,2023Q4,2549817506.29,405
Chemicals,2024Q1,2500707564.94,374
Chemicals,2024Q2,2487745470.98,420
Chemicals,2024Q3,2496182548.46,390
Chemicals,2024Q4,2890936594.13,447
Electronics,2021Q1,2447060153.57,377
Electronics,2021Q2,2450350867.79,378
Electronics,2021Q3,2408251931.58,396
Electronics,2021Q4,2433063354.8,387
Electronics,2022Q1,2407857483.06,398
Electronics,2022Q2,2394242733.89,380
Electronics,2022Q3,2268976383.67,349
Electronics,2022Q4,2734942642.66,392
Electronics,2023Q1,2325767251.36,380
Electronics,2023Q2,2569877972.73,401
Electronics,2023Q3,2735364078.72,411
Electronics,2023Q4,2381691456.39,389
Electronics,2024Q1,2473325110.7,394
Electronics,2024Q2,2235729483.28,380
Electronics,2024Q3,2620400360.25,415
Electronics,2024Q4,2497059087.25,400
IT Equipment,2021Q1,2124409870.34,366
IT Equipment,2021Q2,2461677550.68,378
IT Equipment,2021Q3,2171096308.01,347
IT Equipment,2021Q4,2471099782.95,388
IT Equipment,2022Q1,2343354032.63,382
IT Equipment,2022Q2,2369501787.7,386
IT Equipment,2022Q3,2529171658.22,393
IT Equipment,2022Q4,2821330882.42,412
IT Equipment,2023Q1,2297548114.17,358
IT Equipment,2023Q2,2578905397.62,394
IT Equipment,2023Q3,2418535639.32,363
IT Equipment,2023Q4,2235854062.35,359
IT Equipment,2024Q1,2786788955.41,403
IT Equipment,2024Q2,2422334946.28,358
IT Equipment,2024Q3,2302772241.63,348
IT Equipment,2024Q4,2441681229.01,405
Machinery,2021Q1,2718513004.08,415
Machinery,2021Q2,2388797002.07,382
Machinery,2021Q3,2349184530.58,375
Machinery,2021Q4,2326973826.71,374
Machinery,2022Q1,2278307913.06,368
Machinery,2022Q2,2381967323.02,395
Machinery,2022Q3,2526252692.13,405
Machinery,2022Q4,2450334909.02,363
Machinery,2023Q1,2373552037.91,405
Machinery,2023Q2,2414612361.45,390
Machinery,2023Q3,2456064701.82,383
Machinery,2023Q4,2238718283.36,371
Machinery,2024Q1,2445287324.94,390
Machinery,2024Q2,2604111563.27,407
Machinery,2024Q3,2532182649.07,405
Machinery,2024Q4,2227646171.12,356
Packaging,2021Q1,2489575814.04,399
Packaging,2021Q2,2228738124.66,361
Packaging,2021Q3,2375963831.29,373
Packaging,2021Q4,2724919432.03,403
Packaging,2022Q1,2385501437.17,371
Packaging,2022Q2,2349465609.61,377
Packaging,2022Q3,2472014268.63,367
Packaging,2022Q4,2465798781.02,420
Packaging,2023Q1,2592385115.08,410
Packaging,2023Q2,2565290844.8,383
Packaging,2023Q3,2628850229.4,412
Packaging,2023Q4,2545376505.83,400
Packaging,2024Q1,2250577657.46,371
Packaging,2024Q2,2378132519.81,370
Packaging,2024Q3,2651382692.78,428
Packaging,2024Q4,2286424941.91,377
Raw Material,2021Q1,2198304403.56,373
Raw Material,2021Q2,2328955579.95,385
Raw Material,2021Q3,2708866724.32,411
Raw Material,2021Q4,2078646089.68,366
Raw Material,2022Q1,2551083999.57,395
Raw Material,2022Q2,2240988507.28,376
Raw Material,2022Q3,2203673399.36,374
Raw Material,2022Q4,2612613299.14,381
Raw Material,2023Q1,2603605819.42,405
Raw Material,2023Q2,2766935485.98,432
Raw Material,2023Q3,2466257011.18,398
Raw Material,2023Q4,2530945088.25,383
Raw Material,2024Q1,2706108020.02,414
Raw Material,2024Q2,2736061335.71,412
Raw Material,2024Q3,2521072437.99,415
Raw Material,2024Q4,2589768046.55,370
Spare Parts,2021Q1,2515444846.03,434
Spare Parts,2021Q2,2615698180.22,398
Spare Parts,2021Q3,2553515994.68,426
Spare Parts,2021Q4,2820425389.23,446
Spare Parts,2022Q1,2253314127.81,374
Spare Parts,2022Q2,2323035319.5,385
Spare Parts,2022Q3,2304002094.56,382
Spare Parts,2022Q4,2306610625.17,376
Spare Parts,2023Q1,2491288366.69,379
Spare Parts,2023Q2,2801420731.91,433
Spare Parts,2023Q3,2265155148.89,385
Spare Parts,2023Q4,2430508751.22,391
Spare Parts,2024Q1,2459376389.16,386
Spare Parts,2024Q2,2129638305.36,357
Spare Parts,2024Q3,2524733937.47,402
Spare Parts,2024Q4,2220803094.52,369
Textiles,2021Q1,2445214750.38,389
Textiles,2021Q2,2408151043.58,390
Textiles,2021Q3,2602159659.88,409
Textiles,2021Q4,2475036764.82,396
Textiles,2022Q1,2191012327.66,366
Textiles,2022Q2,2229297922.06,379
Textiles,2022Q3,2542010975.21,395
Textiles,2022Q4,2549132371.22,390
Textiles,2023Q1,2443198472.32,375
Textiles,2023Q2,2559309404.82,390
Textiles,2023Q3,2423260830.72,388
Textiles,2023Q4,2475166922.63,376
Textiles,2024Q1,2394946326.42,381
Textiles,2024Q2,2403049186.74,376
Textiles,2024Q3,2297317413.44,368
Textiles,2024Q4,2642831934.01,399
