Product_SKU,Product_Name,Product_Category,Warehouse_ID,Warehouse_Location,Stock_On_Hand,Reorder_Level,Units_Sold_Last_Month,Gap_Units
SKU2454,Product_SKU2454,Raw Material,WH04,Bangalore,76,1973,2545,1897
SKU3515,Product_SKU3515,Textiles,WH09,Surat,54,1913,6252,1859
SKU4744,Product_SKU4744,Chemicals,WH01,Mumbai,3,1851,2146,1848
SKU4226,Product_SKU4226,Chemicals,WH04,Bangalore,10,1846,1009,1836
SKU2776,Product_SKU2776,Raw Material,WH05,Hyderabad,90,1905,7386,1815
SKU5971,Product_SKU5971,IT Equipment,WH06,Kolkata,169,1965,2225,1796
SKU5394,Product_SKU5394,Machinery,WH10,Jaipur,25,1812,4610,1787
SKU4325,Product_SKU4325,Raw Material,WH10,Jaipur,110,1896,6053,1786
SKU4313,Product_SKU4313,Spare Parts,WH06,Kolkata,230,1982,1728,1752
SKU2825,Product_SKU2825,Chemicals,WH09,Surat,162,1895,3904,1733
SKU4005,Product_SKU4005,Chemicals,WH09,Surat,198,1905,884,1707
SKU1594,Product_SKU1594,Packaging,WH09,Surat,232,1937,4611,1705
SKU1510,Product_SKU1510,Chemicals,WH09,Surat,125,1802,2061,1677
SKU5258,Product_SKU5258,Spare Parts,WH04,Bangalore,37,1707,2487,1670
SKU1143,Product_SKU1143,Raw Material,WH04,Bangalore,39,1707,7746,1668
SKU3797,Product_SKU3797,Machinery,WH02,Delhi,315,1961,3771,1646
SKU3213,Product_SKU3213,Electronics,WH10,Jaipur,78,1705,3631,1627
SKU3149,Product_SKU3149,Chemicals,WH05,Hyderabad,144,1761,4780,1617
SKU5096,Product_SKU5096,Textiles,WH04,Bangalore,188,1802,2313,1614
SKU4497,Product_SKU4497,Textiles,WH10,Jaipur,71,1683,4146,1612
SKU2110,Product_SKU2110,Chemicals,WH04,Bangalore,52,1658,652,1606
SKU1898,Product_SKU1898,Textiles,WH08,Ahmedabad,179,1781,5395,1602
SKU4038,Product_SKU4038,Textiles,WH07,Pune,6,1607,205,1601
SKU3644,Product_SKU3644,IT Equipment,WH05,Hyderabad,67,1647,7631,1580
SKU3692,Product_SKU3692,Packaging,WH05,Hyderabad,216,1778,4105,1562
SKU3539,Product_SKU3539,Textiles,WH04,Bangalore,217,1765,2205,1548
SKU3069,Product_SKU3069,Raw Material,WH06,Kolkata,322,1869,1766,1547
SKU3539,Product_SKU3539,Spare Parts,WH08,Ahmedabad,60,1606,1146,1546
SKU1235,Product_SKU1235,IT Equipment,WH08,Ahmedabad,296,1820,1242,1524
SKU1499,Product_SKU1499,Chemicals,WH01,Mumbai,398,1921,4370,1523
SKU4008,Product_SKU4008,Raw Material,WH07,Pune,94,1617,934,1523
SKU4709,Product_SKU4709,Electronics,WH06,Kolkata,187,1705,260,1518
SKU1550,Product_SKU1550,Electronics,WH05,Hyderabad,229,1729,5340,1500
SKU2994,Product_SKU2994,Chemicals,WH08,Ahmedabad,475,1972,7909,1497
SKU1731,Product_SKU1731,Electronics,WH04,Bangalore,460,1953,3181,1493
SKU1143,Product_SKU1143,Raw Material,WH05,Hyderabad,210,1691,6556,1481
SKU2601,Product_SKU2601,Electronics,WH01,Mumbai,313,1794,7179,1481
SKU4226,Product_SKU4226,Raw Material,WH09,Surat,358,1828,1343,1470
SKU4731,Product_SKU4731,IT Equipment,WH04,Bangalore,519,1964,2386,1445
SKU3399,Product_SKU3399,Spare Parts,WH10,Jaipur,325,1770,3885,1445
SKU3390,Product_SKU3390,Chemicals,WH03,Chennai,446,1855,3850,1409
SKU4236,Product_SKU4236,Packaging,WH05,Hyderabad,68,1475,7624,1407
SKU4259,Product_SKU4259,Raw Material,WH04,Bangalore,126,1531,5238,1405
SKU2401,Product_SKU2401,Chemicals,WH03,Chennai,582,1980,7949,1398
SKU1289,Product_SKU1289,Textiles,WH02,Delhi,251,1636,494,1385
SKU2444,Product_SKU2444,IT Equipment,WH09,Surat,417,1799,5089,1382
SKU3605,Product_SKU3605,IT Equipment,WH07,Pune,269,1647,3402,1378
SKU3515,Product_SKU3515,Electronics,WH04,Bangalore,289,1660,3824,1371
SKU4317,Product_SKU4317,Packaging,WH04,Bangalore,505,1873,6997,1368
SKU1673,Product_SKU1673,Packaging,WH04,Bangalore,506,1874,3089,1368
SKU3549,Product_SKU3549,Packaging,WH08,Ahmedabad,613,1979,5130,1366
SKU1959,Product_SKU1959,Textiles,WH04,Bangalore,287,1641,2519,1354
SKU3574,Product_SKU3574,Raw Material,WH09,Surat,486,1827,3760,1341
SKU5323,Product_SKU5323,Electronics,WH04,Bangalore,379,1717,7872,1338
SKU1843,Product_SKU1843,Raw Material,WH07,Pune,261,1587,7604,1326
SKU4856,Product_SKU4856,Raw Material,WH06,Kolkata,424,1750,7590,1326
SKU3963,Product_SKU3963,IT Equipment,WH02,Delhi,61,1372,927,1311
SKU2406,Product_SKU2406,Spare Parts,WH08,Ahmedabad,92,1401,5411,1309
SKU5373,Product_SKU5373,Packaging,WH08,Ahmedabad,0,1308,6388,1308
SKU2801,Product_SKU2801,Electronics,WH05,Hyderabad,31,1336,3217,1305
SKU1499,Product_SKU1499,Raw Material,WH06,Kolkata,658,1959,1768,1301
SKU2675,Product_SKU2675,Textiles,WH01,Mumbai,276,1569,7210,1293
SKU3439,Product_SKU3439,Textiles,WH07,Pune,250,1539,5896,1289
SKU4749,Product_SKU4749,Raw Material,WH01,Mumbai,282,1569,7105,1287
SKU2291,Product_SKU2291,Electronics,WH01,Mumbai,139,1425,7654,1286
SKU1683,Product_SKU1683,Chemicals,WH10,Jaipur,43,1303,4321,1260
SKU5134,Product_SKU5134,Raw Material,WH09,Surat,201,1460,2874,1259
SKU5258,Product_SKU5258,Electronics,WH06,Kolkata,49,1299,6598,1250
SKU4403,Product_SKU4403,Packaging,WH06,Kolkata,66,1307,6702,1241
SKU3247,Product_SKU3247,Chemicals,WH09,Surat,441,1681,1144,1240
SKU5950,Product_SKU5950,Machinery,WH06,Kolkata,84,1324,2195,1240
SKU4313,Product_SKU4313,Machinery,WH04,Bangalore,277,1514,6758,1237
SKU3496,Product_SKU3496,Machinery,WH04,Bangalore,103,1339,6962,1236
SKU5802,Product_SKU5802,Machinery,WH01,Mumbai,560,1795,1062,1235
SKU4581,Product_SKU4581,Chemicals,WH06,Kolkata,152,1386,5821,1234
SKU3701,Product_SKU3701,Machinery,WH09,Surat,472,1704,2071,1232
SKU2825,Product_SKU2825,Spare Parts,WH08,Ahmedabad,407,1633,6763,1226
