Vendor_ID,Return_Lines,Return_Qty,Return_Value,Vendor_Name,Vendor_Category,Vendor_Tier
VND00640,10,2540,10136388.35,Vendor_0640,Machinery,Tier 3
VND00818,12,3872,9222461.51,Vendor_0818,IT Services,Tier 3
VND00198,13,3537,9178917.78,Vendor_0198,Electronics,Tier 1
VND00572,11,2822,9154825.46,Vendor_0572,Textiles,Tier 1
VND00695,8,3042,8962346.63,Vendor_0695,Packaging,Tier 3
VND00529,8,2537,8886095.11,Vendor_0529,IT Services,Tier 3
VND00677,10,3045,8863307.49,Vendor_0677,Machinery,Tier 3
VND00625,9,3286,8814161.84,Vendor_0625,Electronics,Tier 2
VND00218,10,3051,8791483.79,Vendor_0218,Raw Material,Tier 1
VND00774,7,2553,8781116.91,Vendor_0774,IT Services,Tier 3
VND00924,8,2091,8622096.86,Vendor_0924,IT Services,Tier 1
VND00274,10,2607,8568916.72,Vendor_0274,Chemicals,Tier 1
VND00883,9,2574,8491480.45,Vendor_0883,Raw Material,Tier 3
VND00685,12,2863,8257725.61,Vendor_0685,Raw Material,Tier 1
VND00011,10,2669,8250575.58,Vendor_0011,Logistics,Tier 3
VND00614,9,2853,8148747.31,Vendor_0614,Machinery,Tier 3
VND00604,7,2367,8020733.34,Vendor_0604,IT Services,Tier 3
VND00464,11,2808,7878954.32,Vendor_0464,Machinery,Tier 2
VND00586,9,2516,7863281.26,Vendor_0586,Logistics,Tier 3
VND00919,10,3444,7854108.81,Vendor_0919,IT Services,Tier 1
VND00680,10,2767,7819354.63,Vendor_0680,Electronics,Tier 1
VND00317,8,2719,7741856.78,Vendor_0317,Machinery,Tier 3
VND00592,10,2530,7710496.0,Vendor_0592,Machinery,Tier 2
VND00178,8,2315,7603926.96,Vendor_0178,Machinery,Tier 3
VND00002,8,2546,7489975.55,Vendor_0002,Electronics,Tier 1
VND00449,10,2841,7434045.47,Vendor_0449,Textiles,Tier 3
VND00286,11,2508,7353525.45,Vendor_0286,Packaging,Tier 3
VND00158,8,2503,7343354.49,Vendor_0158,IT Services,Tier 1
VND00005,8,2698,7342419.73,Vendor_0005,Logistics,Tier 3
VND00390,6,1869,7337358.12,Vendor_0390,IT Services,Tier 1
VND00874,6,1957,7309777.61,Vendor_0874,Chemicals,Tier 3
VND00740,8,2137,7303290.45,Vendor_0740,Textiles,Tier 3
VND00596,10,3034,7290943.93,Vendor_0596,Machinery,Tier 2
VND00303,6,2356,7290688.71,Vendor_0303,Raw Material,Tier 2
VND00622,7,1800,7273332.14,Vendor_0622,Unknown,Tier 3
VND00146,8,2657,7175342.03,Vendor_0146,Raw Material,Tier 3
VND00417,8,2453,7070696.38,Vendor_0417,Electronics,Tier 3
VND00668,11,2209,7009797.21,Vendor_0668,Raw Material,Tier 3
VND00319,10,2623,6991647.62,Vendor_0319,Electronics,Tier 3
VND00024,7,2085,6989308.87,Vendor_0024,Logistics,Tier 3
VND00949,7,1856,6968867.36,Vendor_0949,Logistics,Tier 1
VND00580,7,2273,6951610.04,Vendor_0580,Electronics,Tier 3
VND00335,6,2112,6898176.86,Vendor_0335,Chemicals,Tier 3
VND00087,9,2225,6871403.15,Vendor_0087,Raw Material,Tier 1
VND00192,9,2886,6843120.52,Vendor_0192,IT Services,Tier 1
VND00995,7,2207,6841931.47,Vendor_0995,Textiles,Tier 3
VND00216,8,2188,6809286.06,Vendor_0216,Chemicals,Tier 3
VND00220,6,1970,6778233.08,Vendor_0220,Electronics,Tier 1
VND00882,7,2647,6775812.07,Vendor_0882,IT Services,Tier 2
VND00377,6,2071,6758771.27,Vendor_0377,IT Services,Tier 1
VND00775,7,1929,6742964.01,Vendor_0775,Chemicals,Tier 1
VND00803,8,2016,6699856.42,Vendor_0803,Textiles,Tier 2
VND00861,8,2270,6657259.59,Vendor_0861,Logistics,Tier 1
VND00844,5,1820,6605983.95,Vendor_0844,Machinery,Tier 1
VND00523,7,2324,6495863.86,Vendor_0523,IT Services,Tier 1
VND00172,9,2391,6409909.22,Vendor_0172,Textiles,Tier 3
