Warehouse_ID,Warehouse_Location,SKU_Lines,Total_Stock,Stockout_Lines,Overstock_Lines,Avg_Turnover,Stockout_Rate_Pct,Overstock_Rate_Pct
WH06,Kolkata,3000,14860940,356,707,16.86,11.87,23.57
WH10,Jaipur,3000,15177267,320,724,16.96,10.67,24.13
WH04,Bangalore,3000,14819906,319,683,16.18,10.63,22.77
WH08,Ahmedabad,3000,14915552,319,679,16.22,10.63,22.63
WH03,Chennai,3000,15073894,316,695,16.29,10.53,23.17
WH07,Pune,3000,15055338,303,744,16.52,10.1,24.8
WH05,Hyderabad,3000,15051317,300,763,16.24,10.0,25.43
WH01,Mumbai,3000,15039231,298,711,16.71,9.93,23.7
WH02,Delhi,3000,14824779,298,698,16.81,9.93,23.27
WH09,Surat,3000,15311790,281,730,16.79,9.37,24.33
