Vendor_ID,Orders,Late_Rate_Pct,Avg_Delay,Spend,Vendor_Name,Vendor_Category,Vendor_Tier,Reliability_Score,Return_Lines,Return_Value,Return_Rate_Pct,Risk_Points,Risk_Band
VND00936,47,80.43,12.22,297167396.21,Vendor_0936,Packaging,Tier 3,49.1,5.0,2825613.17,10.64,4,High Risk
VND00623,47,73.91,9.07,277835198.51,Vendor_0623,Packaging,Tier 3,55.9,6.0,2157263.89,12.77,4,High Risk
VND00146,47,71.11,6.71,340804512.35,Vendor_0146,Raw Material,Tier 3,32.6,8.0,7175342.03,17.02,4,High Risk
VND00946,44,70.73,8.39,280116100.95,Vendor_0946,Machinery,Tier 3,30.8,6.0,2898301.92,13.64,4,High Risk
VND00905,39,70.27,8.05,212208576.33,Vendor_0905,Textiles,Tier 3,59.5,5.0,4805955.02,12.82,4,High Risk
VND00340,47,69.77,7.4,285794276.53,Vendor_0340,Textiles,Tier 3,36.8,6.0,5094664.77,12.77,4,High Risk
VND00437,42,69.44,7.69,273147793.0,Vendor_0437,Raw Material,Tier 3,35.1,6.0,3687615.44,14.29,4,High Risk
VND00047,45,69.05,8.79,368764039.32,Vendor_0047,Logistics,Tier 3,51.8,5.0,3968816.39,11.11,4,High Risk
VND00144,60,68.42,10.4,370920207.34,Vendor_0144,Raw Material,Tier 3,51.1,7.0,6319834.61,11.67,4,High Risk
VND00190,61,68.42,9.68,394030965.88,Vendor_0190,Raw Material,Tier 3,46.9,6.0,2179702.12,9.84,4,High Risk
VND00330,51,68.09,9.32,325830132.51,Vendor_0330,Raw Material,Tier 3,47.3,5.0,5115896.29,9.8,4,High Risk
VND00599,46,67.5,7.9,263483538.19,Vendor_0599,Machinery,Tier 3,43.5,5.0,1982119.28,10.87,4,High Risk
VND00072,50,67.39,7.61,390623710.08,Vendor_0072,Textiles,Tier 3,43.9,9.0,3042861.6,18.0,4,High Risk
VND00007,53,67.35,8.78,357885564.64,Vendor_0007,Raw Material,Tier 3,34.1,7.0,4241910.43,13.21,4,High Risk
VND00516,47,66.67,8.43,355206855.51,Vendor_0516,Chemicals,Tier 3,31.8,5.0,4765848.1,10.64,4,High Risk
VND00831,58,66.67,8.46,349934109.33,Vendor_0831,Textiles,Tier 3,45.7,6.0,6063186.96,10.34,4,High Risk
VND00168,51,65.96,7.49,297796750.5,Vendor_0168,Textiles,Tier 3,43.1,5.0,4384870.21,9.8,4,High Risk
VND00366,48,65.96,7.72,262336929.2,Vendor_0366,Electronics,Tier 3,57.0,9.0,4894087.64,18.75,4,High Risk
VND00591,53,64.58,9.35,288706826.22,Vendor_0591,Logistics,Tier 3,39.7,7.0,6215096.29,13.21,4,High Risk
VND00101,50,64.44,8.33,314929035.77,Vendor_0101,Packaging,Tier 3,32.2,9.0,3586079.09,18.0,4,High Risk
VND00665,60,64.29,8.55,295375991.09,Vendor_0665,Machinery,Tier 3,37.1,7.0,5191895.07,11.67,4,High Risk
VND00453,39,64.1,8.28,286446311.84,Vendor_0453,IT Services,Tier 3,59.7,6.0,6256975.84,15.38,4,High Risk
VND00496,41,64.1,8.05,253255935.77,Vendor_0496,Packaging,Tier 3,54.7,5.0,2663283.24,12.2,4,High Risk
VND00059,47,63.64,7.91,308896135.06,Vendor_0059,Packaging,Tier 3,33.2,6.0,5614812.19,12.77,4,High Risk
VND00252,41,63.16,7.95,337230114.04,Vendor_0252,Machinery,Tier 3,57.0,4.0,3713356.17,9.76,4,High Risk
VND00345,51,63.04,9.15,272283798.15,Vendor_0345,Unknown,Tier 3,57.9,6.0,5441369.68,11.76,4,High Risk
VND00195,38,62.86,7.69,207512391.05,Vendor_0195,Unknown,Tier 3,53.7,7.0,6249576.78,18.42,4,High Risk
VND00308,43,62.79,7.63,255009839.84,Vendor_0308,Electronics,Tier 3,52.6,6.0,1131559.79,13.95,4,High Risk
VND00785,51,62.75,8.37,349087533.11,Vendor_0785,Textiles,Tier 3,42.7,5.0,2811562.5,9.8,4,High Risk
VND00284,48,62.5,7.46,286369506.75,Vendor_0284,Textiles,Tier 3,36.6,5.0,3821430.87,10.42,4,High Risk
VND00387,46,62.22,7.36,265331609.97,Vendor_0387,Textiles,Tier 3,49.7,7.0,4790309.76,15.22,4,High Risk
VND00903,41,62.16,9.46,224712693.15,Vendor_0903,Packaging,Tier 3,42.7,4.0,1682069.06,9.76,4,High Risk
VND00984,48,61.9,6.62,286817763.76,Vendor_0984,Raw Material,Tier 3,35.3,6.0,5443701.16,12.5,4,High Risk
VND00828,48,61.7,8.0,292860842.47,Vendor_0828,Textiles,Tier 3,54.3,6.0,4579460.26,12.5,4,High Risk
VND00156,55,61.54,7.25,342677950.04,Vendor_0156,Packaging,Tier 3,46.9,8.0,4424344.16,14.55,4,High Risk
VND00134,46,61.36,8.98,295211585.49,Vendor_0134,IT Services,Tier 3,53.6,5.0,4016220.99,10.87,4,High Risk
VND00762,46,60.98,6.61,266705166.22,Vendor_0762,Chemicals,Tier 3,51.8,6.0,5467172.7,13.04,4,High Risk
VND00361,52,60.78,7.02,348504824.37,Vendor_0361,IT Services,Tier 3,57.2,6.0,2071194.82,11.54,4,High Risk
VND00459,48,60.47,6.74,285357143.4,Vendor_0459,Textiles,Tier 3,33.9,8.0,3578672.39,16.67,4,High Risk
VND00493,47,60.47,7.49,359283092.04,Vendor_0493,IT Services,Tier 3,49.4,5.0,4902332.77,10.64,4,High Risk
VND00320,48,60.0,8.16,347254887.04,Vendor_0320,Textiles,Tier 3,47.5,6.0,2650351.0,12.5,4,High Risk
VND00355,37,60.0,8.03,208721620.39,Vendor_0355,Textiles,Tier 3,34.9,7.0,3564114.82,18.92,4,High Risk
VND00682,51,60.0,7.74,330516448.51,Vendor_0682,Textiles,Tier 3,48.1,7.0,1865765.24,13.73,4,High Risk
VND00810,55,59.62,7.04,315583864.72,Vendor_0810,Electronics,Tier 3,37.9,6.0,2322862.18,10.91,4,High Risk
VND00037,49,59.57,8.62,263838538.99,Vendor_0037,Electronics,Tier 3,51.3,8.0,5458832.86,16.33,4,High Risk
VND00111,49,59.57,6.98,300534788.31,Vendor_0111,Electronics,Tier 3,50.3,5.0,3008543.81,10.2,4,High Risk
VND00506,51,59.57,6.79,307248269.91,Vendor_0506,Electronics,Tier 3,41.4,5.0,4009133.46,9.8,4,High Risk
VND00834,48,59.57,8.17,374332791.92,Vendor_0834,Packaging,Tier 3,42.3,6.0,2643530.95,12.5,4,High Risk
VND00057,48,59.52,7.21,260717496.87,Vendor_0057,Electronics,Tier 3,36.2,8.0,4603350.83,16.67,4,High Risk
VND00586,41,59.46,8.68,301112762.44,Vendor_0586,Logistics,Tier 3,46.8,9.0,7863281.26,21.95,4,High Risk
VND00191,65,59.32,7.29,392031885.36,Vendor_0191,Raw Material,Tier 3,36.5,8.0,5240794.4,12.31,4,High Risk
VND00017,44,59.09,6.68,235315557.87,Vendor_0017,Packaging,Tier 3,51.3,8.0,6388918.25,18.18,4,High Risk
VND00953,42,58.97,7.64,320128383.82,Vendor_0953,Chemicals,Tier 3,42.3,5.0,4670257.96,11.9,4,High Risk
