Vendor_ID,Vendor_Name,Vendor_Category,Country,Vendor_Tier,Reliability_Score,Recency_Months,Frequency,Monetary,R,F,M,RFM_Score,RFM_Segment
VND00119,Vendor_0119,Raw Material,India,Tier 1,92.5,0.1,63,389727051.32,5,5,5,15,Strategic Partner
VND00500,Vendor_0500,Electronics,Thailand,Tier 1,99.0,0.1,62,443087103.38,5,5,5,15,Strategic Partner
VND00243,Vendor_0243,Logistics,Thailand,Tier 1,94.0,0.2,57,435653587.42,5,5,5,15,Strategic Partner
VND00633,Vendor_0633,Machinery,South Korea,Tier 2,65.8,0.0,62,396161742.45,5,5,5,15,Strategic Partner
VND00835,Vendor_0835,Electronics,India,Tier 2,64.9,0.1,58,431882819.47,5,5,5,15,Strategic Partner
VND00363,Vendor_0363,Unknown,USA,Tier 2,62.1,0.2,65,416312507.45,5,5,5,15,Strategic Partner
VND00448,Vendor_0448,Raw Material,Bangladesh,Tier 1,82.7,0.2,67,422165457.47,5,5,5,15,Strategic Partner
VND00384,Vendor_0384,Packaging,Malaysia,Tier 1,91.4,0.1,62,461667199.26,5,5,5,15,Strategic Partner
VND00772,Vendor_0772,Chemicals,USA,Tier 1,89.3,0.1,56,426922598.76,5,5,5,15,Strategic Partner
VND00956,Vendor_0956,Chemicals,Japan,Tier 3,56.8,0.1,64,373751708.45,5,5,5,15,Strategic Partner
VND00381,Vendor_0381,IT Services,Germany,Tier 3,38.3,0.2,61,393558058.85,5,5,5,15,Strategic Partner
VND00485,Vendor_0485,Logistics,South Korea,Tier 2,70.9,0.1,65,371987859.92,5,5,5,15,Strategic Partner
VND00224,Vendor_0224,Packaging,Unknown,Tier 3,55.7,0.0,57,416767793.97,5,5,5,15,Strategic Partner
VND00909,Vendor_0909,Raw Material,Bangladesh,Tier 3,48.2,0.1,63,367387302.51,5,5,5,15,Strategic Partner
VND00572,Vendor_0572,Textiles,Japan,Tier 1,84.9,0.2,57,400239846.57,5,5,5,15,Strategic Partner
VND00372,Vendor_0372,Raw Material,Unknown,Tier 3,31.3,0.2,59,364111143.21,5,5,5,15,Strategic Partner
VND00554,Vendor_0554,Electronics,Japan,Tier 2,69.3,0.1,62,437851104.66,5,5,5,15,Strategic Partner
VND00798,Vendor_0798,Packaging,Bangladesh,Tier 2,69.6,0.1,63,435861385.99,5,5,5,15,Strategic Partner
VND00354,Vendor_0354,Logistics,South Korea,Tier 3,41.4,0.0,66,497285341.07,5,5,5,15,Strategic Partner
VND00196,Vendor_0196,Packaging,Bangladesh,Tier 3,54.4,0.0,62,368362695.88,5,5,5,15,Strategic Partner
VND00061,Vendor_0061,Electronics,China,Tier 3,57.2,0.1,58,368645062.46,5,5,5,15,Strategic Partner
VND00851,Vendor_0851,Chemicals,Bangladesh,Tier 3,34.7,0.0,61,447694907.54,5,5,5,15,Strategic Partner
VND00386,Vendor_0386,Electronics,Japan,Tier 1,86.2,0.0,56,373735563.18,5,5,5,15,Strategic Partner
VND00190,Vendor_0190,Raw Material,China,Tier 3,46.9,0.1,61,394030965.88,5,5,5,15,Strategic Partner
VND00249,Vendor_0249,Raw Material,USA,Tier 1,97.5,0.1,62,367323687.88,5,5,5,15,Strategic Partner
VND00505,Vendor_0505,Logistics,South Korea,Tier 2,77.9,0.0,57,428728069.27,5,5,5,15,Strategic Partner
VND00868,Vendor_0868,Machinery,Thailand,Tier 3,42.7,0.0,64,409156310.93,5,5,5,15,Strategic Partner
VND00297,Vendor_0297,Logistics,South Korea,Tier 1,83.9,0.2,72,483567378.34,5,5,5,15,Strategic Partner
